code_grade_NEG;code_etat_grade;libelle_grade_NEG;code_FP;code_grade_NEG_rempl;date_supp_remp_grille;code_etat_grade_rempl;libelle_grade_NEG_rempl
0050;8;INFIRMIER SPEC ANESTHESIE-REANIMATION CL NORMALE;510;0449;01/08/1993;1;INFIRMIER ANESTHESISTE DE CLASSE NORMALE(*)
0051;8;INFIRMIER SPEC ANESTHESIE-REANIMATION CL SUPERIEURE;510;0449;01/08/1993;1;INFIRMIER ANESTHESISTE DE CLASSE NORMALE(*)
0052;8;INFIRMIER ANESTHESISTE, SURVEILLANT DES SERVICES MEDICAUX;510;0683;31/12/2003;1;INFIRMIER ANESTHESISTE CADRE DE SANTE (*)
0053;8;PUERICULTRICE CLASSE NORMALE;510;0450;01/08/1993;1;
0054;8;PUERICULTRICE CLASSE SUPERIEURE;510;0450;01/08/1993;1;
0055;8;;510;0684;31/12/2003;1;PUERICULTRICE CADRE DE SANTE (*)
0056;8;AIDE SOIGNANT CL NORMALE (E03);510;0839;31/12/2008;1;AIDE SOIGNANT CL NORMALE (E04)
0057;8;AIDE SOIGNANT CL SUPERIEURE (E04);510;0840;31/12/2008;1;AIDE SOIGNANT CL SUPERIEURE (E05)
0058;8;AIDE MEDICO PSYCHO CL NOR (E03)(AIDE SOIGNANT);510;0845;31/12/2008;1;AIDE MEDICO PSYCHO CL NORMALE (E04 AIDE SOIGNANT)
0059;8;AIDE MEDICO PSYCHO CL SUP (E04) (AIDE SOIGNANT);510;0846;31/12/2008;1;AIDE MEDICO PSYCHO CL SUP (E05 AIDE SOIGNANT)
0060;8;AUX PUERICULTURE CL NOR (E03) (AIDE SOIGNANT);510;0842;31/12/2008;1;AUXILIAIRE PUERICULTURE CL NORMALE (E04 AIDE SOIGNANT)
0061;8;AUX PUERICULTURE CL SUPER (E04) (AIDE SOIGNANT);510;0843;31/12/2008;1;AUXILIAIRE PUERICULTURE CL SUP (E05 AIDE SOIGNANT)
0062;8;INFIRMIER SURVEILLANT CHEF DES SERVICES MEDICAUX;510;0276;01/08/1991;8;INFIRMIER SURVEILLANT-CHEF DES SERVICES MEDICAUX
0063;8;INFIRMIER DE SALLE D'OPERATION,SURVEILLANT CHEF DES SERVICES;510;0277;01/08/1991;8;INFIRMIER SURVEILLANT-CHEF DE SALLE D'OPERATION DES SERVICES
0064;8;INFIRMIER SPECIALISE ANESTHESIE-REANIMATION,SURVEILLANT CHEF;510;0278;01/08/1991;8;INFIRMIER SURVEILLANT-CHEF ANESTHESIE-REANIMATION DES
0065;8;PUERICULTRICE SURVEILLANT CHEF DES SERVICES MEDICAUX;510;0279;01/08/1991;8;PUERICULTRICE SURVEILLANTE-CHEF DES SERVICES MEDICAUX
0070;8;AGENT DES SERVICES HOSPITALIERS;510;0283;01/08/1993;8;AGENT DES SERVICES HOSPITALIERS HORS CATEGORIE(*)
0071;8;PEDICURE PODOLOGUE CLASSE NORMALE;510;0455;01/08/1993;1;PEDICURE PODOLOGUE CL NORMALE (1ER GRADE)
0072;8;PEDICURE PODOLOGUE CLASSE SUPERIEURE;510;0455;01/08/1993;1;PEDICURE PODOLOGUE CL NORMALE (1ER GRADE)
0073;8;PEDICURE PODOLOGUE SURVEILLANT DES SERVICES MEDICAUX;510;0685;31/12/2003;1;PEDICURE PODOLOGUE CADRE DE SANTE (*)
0074;8;PEDICURE PODOLOGUE SURVEILLANT-CHEF DES SERVICES MEDICAUX;510;0269;01/08/1991;8;PEDICURE-PODOLOGUE SURVEILLANT-CHEF DES SERVICES MEDICAUX
0075;8;MASSEUR KINESITHERAPEUTE CLASSE NORMALE;510;0456;01/08/1993;1;MASSEUR KINESITHERAPEUTE CL NORMALE (1ER GRADE)
0076;8;MASSEUR KINESITHERAPEUTE CLASSE SUPERIEURE;510;0456;01/08/1993;1;MASSEUR KINESITHERAPEUTE CL NORMALE (1ER GRADE)
0077;8;MASSEUR KINESITHERAPEUTE SURVEILLANT DES SERVICES MEDICAUX;510;0686;31/12/2003;1;MASSEUR KINESITHERAPEUTE CADRE DE SANTE (*)
0078;8;MASSEUR KINESITHERAPEUTE SURVEILLANT-CHEF DES SERVICES;510;0270;01/08/1991;8;MASSEUR-KINESITHERAPEUTE SURVEILLANT-CHEF DES SERVICES MEDIC
0079;8;ERGOTHERAPEUTE CLASSE NORMALE;510;0457;01/08/1993;1;ERGOTHERAPEUTE CL NORMALE (1ER GRADE)*
0080;8;ERGOTHERAPEUTE CLASSE SUPERIEURE;510;0457;01/08/1993;1;ERGOTHERAPEUTE CL NORMALE (1ER GRADE)*
0081;8;ERGOTHERAPEUTE SURVEILLANT DES SERVICES MEDICAUX;510;0687;31/12/2003;1;ERGOTHERAPEUTE CADRE DE SANTE (*)
0082;8;ERGOTHERAPEUTE SURVEILLANT-CHEF DES SERVICES MEDICAUX;510;0271;01/08/1991;8;ERGOTHERAPEUTE SURVEILLANT-CHEF DES SERVICES MEDICAUX
0083;8;PSYCHOMOTRICIEN CLASSE NORMALE;510;0458;01/08/1993;1;PSYCHOMOTRICIEN CL NORMALE (1ER GRADE)
0084;8;PSYCHOMOTRICIEN CLASSE SUPERIEURE;510;0458;01/08/1993;1;PSYCHOMOTRICIEN CL NORMALE (1ER GRADE)
0085;8;PSYCHOMOTRICIEN SURVEILLANT DES SERVICES MEDICAUX;510;0688;31/12/2003;1;PSYCHOMOTRICIEN CADRE DE SANTE (*)
0086;8;PSYCHOMOTRICIEN SURVEILLANT-CHEF DES SERVICES MEDICAUX;510;0272;01/08/1991;8;PSYCHOMOTRICIEN SURVEILLANT-CHEF DES SERVICES MEDICAUX
0087;8;ORTHOPHONISTE CLASSE NORMALE;510;0459;01/08/1993;1;ORTHOPHONISTE CL NORMALE (1ER GRADE)
0088;8;ORTHOPHONISTE CLASSE SUPERIEURE;510;0459;01/08/1993;1;ORTHOPHONISTE CL NORMALE (1ER GRADE)
0089;8;ORTHOPHONISTE SURVEILLANT DES SERVICES MEDICAUX;510;0689;31/12/2003;1;ORTHOPHONISTE CADRE DE SANTE (*)
0090;8;ORTHOPHONISTE SURVEILLANT-CHEF DES SERVICES MEDICAUX;510;0273;01/08/1991;8;ORTHOPHONISTE SURVEILLANT-CHEF DES SERVICES MEDICAUX
0091;8;ORTHOPTISTE CLASSE NORMALE;510;0460;01/08/1993;1;ORTHOPTISTE CL NORMALE (1ER GRADE)
0092;8;ORTHOPTISTE CLASSE SUPERIEURE;510;0460;01/08/1993;1;ORTHOPTISTE CL NORMALE (1ER GRADE)
0093;8;ORTHOPTISTE SURVEILLANT DES SERVICES MEDICAUX;510;0690;31/12/2003;1;ORTHOPTISTE CADRE DE SANTE (*)
0094;8;ORTHOPTISTE SURVEILLANT-CHEF DES SERVICES MEDICAUX;510;0274;01/08/1991;8;ORTHOPTISTE SURVEILLANT-CHEF DES SERVICES MEDICAUX
0095;8;DIETETICIEN CLASSE NORMALE;510;0461;01/08/1993;1;DIETETICIEN CL NORMALE
0096;8;DIETETICIEN CLASSE SUPERIEURE;510;0461;01/08/1993;1;DIETETICIEN CL NORMALE
0097;8;DIETETICIEN SURVEILLANT DES SERVICES MEDICAUX;510;0691;31/12/2003;1;DIETETICIEN CADRE DE SANTE (*)
0098;8;DIETETICIEN SURVEILLANT-CHEF DES SERVICES MEDICAUX;510;0275;01/08/1991;8;DIETETICIEN SURVEILLANT-CHEF DES SERVICES MEDICAUX
0099;8;SAGE FEMME;510;0671;01/01/2002;8;
0099;8;SAGE FEMME;510;0672;01/01/2002;8;
0100;8;SAGE FEMME CHEF D UNITE;510;0673;01/01/2002;8;
0101;8;SAGE FEMME SURVEILLANTE-CHEF;510;0674;01/01/2002;8;
0102;8;PREPARATEUR EN PHARMACIE CLASSE NORMALE;510;0656;12/09/2001;1;PREPARATEUR EN PHARMACIE CL NORMALE (1ER GRADE)
0102;8;PREPARATEUR EN PHARMACIE CLASSE NORMALE;510;0657;12/09/2001;1;PREPARATEUR EN PHARMACIE CL SUP (2EME GRADE)
0103;8;PREPARATEUR EN PHARMACIE  CLASSE FONCTIONNELLE;510;0658;12/09/2001;8;PREPARATEUR EN PHARMACIE SURVEILLANT
0104;8;TECHNICIEN DE LABORATOIRE CL NORMALE;510;0463;01/08/1993;1;TECHNICIEN DE LABORATOIRE CL NORMALE (1ER GRADE)
0105;8;TECHNICIEN DE LABORATOIRE CL SUPERIEURE;510;0463;01/08/1993;1;TECHNICIEN DE LABORATOIRE CL NORMALE (1ER GRADE)
0106;8;TECHNICIEN DE LABORATOIRE SURVEILLANT;510;0679;31/12/2003;1;TECHNICIEN DE LABORATOIRE CADRE DE SANTE  (*)
0107;8;TECHNICIEN DE LABORATOIRE SURVEILLANT CHEF;510;0280;01/08/1991;8;TECHNICIEN DE LABORATOIRE SURVEILLANT CHEF
0108;8;MANIPULATEUR D ELECTRORADIOLOGIE MEDICALE CLASSE NORMALE;510;0462;01/08/1993;1;MANIPULATEUR D'ELECTRORADIOLOGIE CL NORMALE (1ER GRADE)
0109;8;MANIPULATEUR D ELECTRORADIOLOGIE MEDICALE CLASSE SUPERIEURE;510;0462;01/08/1993;1;MANIPULATEUR D'ELECTRORADIOLOGIE CL NORMALE (1ER GRADE)
0110;8;MANIPULATEUR D ELECTRORADIOLOGIE SURVEILLANT;510;0680;31/12/2003;1;MANIPULATEUR D'ELECTRORADIOLOGIE CADRE DE SANTE (*)
0111;8;MANIPULATEUR D ELECTRORADIOLOGIE MEDICALE,SURVEILLANT-CHEF;510;0281;01/08/1991;8;MANIPULATEUR D'ELECTRORADIOLOGIE SURVEILLANT-CHEF
0114;8;DIRECTEUR ECOLE/CENTRE PROFESSIONS PARAMEDICALES;510;0710;01/01/2002;8;DIRECTEUR DES SOINS DE DEUXIEME CLASSE
0115;8;DIRECTEUR D'ECOLE DE CADRES PARAMEDICAUX;510;0711;01/01/2002;8;DIRECTEUR DES SOINS DE PREMIERE CLASSE
0116;8;INFIRMIER GENERAL DE 2EME CLASSE;510;0710;01/01/2002;8;DIRECTEUR DES SOINS DE DEUXIEME CLASSE
0117;8;INFIRMIER GENERAL DE 1ERE CLASSE;510;0711;01/01/2002;8;DIRECTEUR DES SOINS DE PREMIERE CLASSE
0118;8;PERSONNEL DE DIRECTION DE PREMIERE CLASSE;510;0745;06/08/2005;1;PERSONNEL DE DIRECTION HORS CLASSE
0119;8;PERSONNEL DE DIRECTION DE DEUXIEME CLASSE;510;0746;06/08/2005;1;PERSONNEL DE DIRECTION CL NORMALE
0120;8;PERSONNEL DE DIRECTION DE TROISIEME CLASSE;510;0746;06/08/2005;1;PERSONNEL DE DIRECTION CL NORMALE
0121;8;PERSONNEL DE DIRECTION DE QUATRIEME CLASSE(*);510;0748;06/08/2005;1;PERSONNEL DE DIRECTION CLASSE PROVISOIRE (*)
0122;8;INGENIEUR EN CHEF 1ERE CATEGORIE HORS CLASSE;110;0732;01/11/2003;1;INGENIEUR EN CHEF DE CLASSE EXCEPTIONNELLE
0123;8;INGENIEUR EN CHEF 1ERE CATEGORIE 1ERE CLASSE;110;0732;01/11/2003;1;INGENIEUR EN CHEF DE CLASSE EXCEPTIONNELLE
0124;8;INGENIEUR EN CHEF 1ERE CATEGORIE 2EME CLASSE;110;0731;01/11/2003;1;INGENIEUR EN CHEF DE CLASSE NORMALE
0127;8;INFIRMIER SPECIALISE ECHELLE INFIRMIER SALLE D'OPERATION;510;0454;01/08/1993;8;INFIRMIER SPECIALISE ECHELLE INFIRMIER DE BLOC OPERATOIRE DE
0128;8;CHEF DE BUREAU (*);510;0666;20/12/2003;1;ATTACHE
0129;8;ADJOINT DES CADRES HOSPITALIERS CLASSE EXCEPTIONNELLE;510;0522;01/08/1996;1;ADJOINT DES CADRES HOSP CL EXCEPT (3EME GRADE)
0130;8;ADJOINT DES CADRES HOSPITALIERS DE CLASSE SUPERIEURE;510;0566;01/08/1996;1;ADJOINT DES CADRES HOSP CL NORMALE (1ER GRADE)
0131;8;ADJOINT DES CADRES HOSPITALIERS DE CLASSE NORMALE;510;0566;01/08/1996;1;ADJOINT DES CADRES HOSP CL NORMALE (1ER GRADE)
0132;8;SECRETAIRE MEDICAL DE CLASSE EXCEPTIONNELLE;510;0523;01/08/1996;8;SECRETAIRE MEDICAL CL EXCEPTIONNELLE
0133;8;SECRETAIRE MEDICAL DE CLASSE SUPERIEURE;510;0562;01/08/1996;8;SECRETAIRE MEDICAL CL NORMALE
0134;8;SECRETAIRE MEDICAL DE CLASSE NORMALE;510;0562;01/08/1996;8;SECRETAIRE MEDICAL CL NORMALE
0135;8;ADJOINT ADMINISTRATIF HOSP 1ERE CL (E05);510;0863;08/08/2007;1;ADJOINT ADMINIST HOSP PRINCIPAL 2EME CL (E05)
0136;8;ADJOINT ADMINISTRATIF HOSP 2EME CL (E04);510;0862;08/08/2007;1;ADJOINT ADMINIST HOSP 1ERE CL (E04)
0137;8;AGENT ADMINISTRATIF PRINCIPAL;510;0772;27/02/2006;8;AGENT ADMINISTRATIF
0138;8;AGENT ADMINISTRATIF;510;0772;27/02/2006;8;AGENT ADMINISTRATIF
0141;8;CHEF DE STANDARD TELEPHONIQUE;510;0863;08/08/2007;1;ADJOINT ADMINIST HOSP PRINCIPAL 2EME CL (E05)
0142;8;STANDARDISTE PRINCIPAL;510;0771;27/02/2006;8;STANDARDISTE
0143;8;STANDARDISTE;510;0771;27/02/2006;8;STANDARDISTE
0144;8;SAPEUR DE DEUXIEME CLASSE * SANS MAJORATION;110;0902;15/06/2007;8;SAPEUR *SANS MAJORATION*
0145;8;SAPEUR DE PREMIERE CLASSE * SANS MAJORATION;110;0902;15/06/2007;8;SAPEUR *SANS MAJORATION*
0149;8;LIEUTENANT;110;0203;01/08/1991;8;LIEUTENANT DE DEUXIEME CLASSE  *  SANS MAJORATION
0150;8;LIEUTENANT CHEF DE SECTION * SANS MAJORATION;110;0203;01/08/1991;8;LIEUTENANT DE DEUXIEME CLASSE  *  SANS MAJORATION
0151;8;LIEUTENANT CHEF DE SECTION PRINCIPAL * SANS MAJORATION;110;0204;01/08/1991;8;LIEUTENANT DE PREMIERE CLASSE * SANS MAJORATION
0153;8;COMMANDANT * SANS MAJORATION;110;0603;01/08/1996;1;COMMANDANT * SANS MAJORATION
0154;8;LIEUTENANT COLONEL * SANS MAJORATION;110;0605;01/08/1996;1;LIEUTENANT COLONEL * SANS MAJORATION
0156;8;AGENT DE SALUBRITE EN CHEF;110;0796;01/11/2006;1;ADJOINT TECHNIQUE PRINCIPAL DE 1ERE CLASSE
0157;8;AGENT TECHNIQUE EN CHEF;110;0796;01/11/2006;1;ADJOINT TECHNIQUE PRINCIPAL DE 1ERE CLASSE
0158;8;CHEF DE GARAGE PRINCIPAL;110;0157;01/11/2005;8;AGENT TECHNIQUE EN CHEF
0163;8;AGENT ADMINISTRATIF QUALIFIE STENODACTYLOGRAPHE;110;0013;01/08/1990;8;ADJOINT ADMINISTRATIF
0164;8;DIRECTEUR ECOLE / CERTIFICAT CADRE SAGE-FEMME;510;1116;27/12/2014;1;SAGE FEMME 2EME GR (CAT SEDENTAIRE/ACTIVE)
0165;8;DIRECTEUR ECOLE / DIPLOME D ETAT SAGE-FEMME;510;1116;27/12/2014;1;SAGE FEMME 2EME GR (CAT SEDENTAIRE/ACTIVE)
0166;8;INFIRMIER SECTEUR PSYCHIATRIQUE CL NORMALE;510;0452;01/08/1993;8;INFIRMIER SECTEUR PSYCHIATRIQUE CL NORMALE
0167;8;INFIRMIER DE SECTEUR PSYCHIATRIQUE CLASSE SUPERIEURE;510;0452;01/08/1993;8;INFIRMIER SECTEUR PSYCHIATRIQUE CL NORMALE
0168;8;INFIRMIER AUTORISE CLASSE NORMALE;510;0453;01/08/1993;8;INFIRMIER AUTORISE DE CLASSE NORMALE
0169;8;INFIRMIER AUTORISE CLASSE SUPERIEURE;510;0453;01/08/1993;8;INFIRMIER AUTORISE DE CLASSE NORMALE
0170;8;DIRECTEUR DE 1ERE CL DES ETBTS SOCIAUX;510;0496;01/01/1994;8;PERSONNEL DE DIRECTION HORS CL ETBTS PUBS SOCIAUX
0170;8;DIRECTEUR DE 1ERE CL DES ETBTS SOCIAUX;510;0497;01/01/1994;8;PERSONNEL DE DIRECTION 1ERE CL ETABS PUBS SOCIAUX
0171;8;DIRECTEUR DE 2EME CL DES ETABTS SOCIAUX;510;0498;01/01/1994;8;PERSONNEL DE DIRECTION 2EME CL ETABS PUBS SOCIAUX
0172;8;AGENT CHEF DE 2EME CATEGORIE;510;0980;30/06/2011;1;TECHNICIEN HOSPITALIER (1ER GRADE)
0173;8;AGENT CHEF DE 1ERE CATEGORIE;510;0981;30/06/2011;1;TECHNICIEN SUPERIEUR HOSP 2EME CL (2EME GRADE)
0174;8;CONTREMAITRE;510;0858;08/08/2007;1;AGENT DE MAITRISE
0175;8;CONTREMAITRE PRINCIPAL (E06);510;0859;08/08/2007;1;AGENT DE MAITRISE PRINCIPAL (E06)
0178;8;OUVRIER PROFESSIONNEL SPECIALISE;510;0179;01/01/2008;1;OUVRIER PROFESSIONNEL QUALIFIE
0180;8;CHEF DE GARAGE;510;0858;08/08/2007;1;AGENT DE MAITRISE
0181;8;CHEF DE GARAGE PRINCIPAL;510;0859;08/08/2007;1;AGENT DE MAITRISE PRINCIPAL (E06)
0182;8;CONDUCTEUR AUTOMOBILE DEUXIEME CATEGORIE;510;0183;27/02/2006;8;CONDUCTEUR AUTOMOBILE 1ERE CATEGORIE
0183;8;CONDUCTEUR AUTOMOBILE 1ERE CATEGORIE;510;0179;01/01/2008;1;OUVRIER PROFESSIONNEL QUALIFIE
0184;8;CONDUCTEUR AUTOMOBILE HORS CATEGORIE;510;0179;01/01/2008;1;OUVRIER PROFESSIONNEL QUALIFIE
0187;8;AGENT TECHNIQUE D'ENTRETIEN;510;0858;08/08/2007;1;AGENT DE MAITRISE
0188;8;AGENT TECHNIQUE D'ENTRETIEN PRINCIPAL;510;0859;08/08/2007;1;AGENT DE MAITRISE PRINCIPAL (E06)
0189;8;AGENT D'AMPHITHEATRE DEUXIEME CATEGORIE;510;0667;10/11/2001;1;AGENT DE 2EME CAT DE SCE MORTUAIRE ET DESINFECTION
0190;8;AGENT D'AMPHITHEATRE PREMIERE CATEGORIE;510;0668;10/11/2001;1;AGENT DE 1ERE CAT DE SCE MORTUAIRE ET DESINFECTION (*)
0191;8;AGENT DE DESINFECTION DEUXIEME CATEGORIE;510;0667;10/11/2001;1;AGENT DE 2EME CAT DE SCE MORTUAIRE ET DESINFECTION
0192;8;AGENT DE DESINFECTION PREMIERE CATEGORIE;510;0668;10/11/2001;1;AGENT DE 1ERE CAT DE SCE MORTUAIRE ET DESINFECTION (*)
0193;8;AGENT D'ENTRETIEN SPECIALISE;510;0433;01/08/1993;1;AGENT D'ENTRETIEN QUALIFIE
0194;8;AGENT DU SERVICE INTERIEUR;510;0282;01/08/1993;8;AGENT DU SERVICE INTERIEUR HORS CATEGORIE
0198;8;ADJOINT ADMINISTRATIF HOSP PRINCIPAL (E06);510;0864;08/08/2007;1;ADJOINT ADMINIST HOSP PRINCIPAL 1ERE CL (E06)
0200;8;CHEF DE STANDARD TELEPHONIQUE PRINCIPAL;510;0864;08/08/2007;1;ADJOINT ADMINIST HOSP PRINCIPAL 1ERE CL (E06)
0201;8;AGENT SERVICES HOSP QUALIFIE 2EME CATEGORIE;510;0773;27/02/2006;1;AGENT SERVICE HOSP QUALIFIE CLASSE NORMALE
0202;8;INFIRMIER SPECIALISE ECHELLE INFIRMIER SALLE D'OPERATION CLA;510;0454;01/08/1993;8;INFIRMIER SPECIALISE ECHELLE INFIRMIER DE BLOC OPERATOIRE DE
0203;8;LIEUTENANT DE DEUXIEME CLASSE  *  SANS MAJORATION;110;0664;01/01/2002;1;LIEUTENANT/GRADE PROVISOIRE * SANS MAJORATION
0204;8;LIEUTENANT DE PREMIERE CLASSE * SANS MAJORATION;110;0665;01/01/2002;8;LIEUTENANT *SANS MAJORATION*
0205;8;LIEUTENANT HORS CLASSE * SANS MAJORATION;110;0665;01/01/2002;8;LIEUTENANT *SANS MAJORATION*
0206;8;INGENIEUR SUBDIVISIONNAIRE;510;0848;25/06/2007;1;INGENIEUR
0207;8;INGENIEUR EN CHEF;510;0849;25/06/2007;1;INGENIEUR PRINCIPAL
0208;8;INGENIEUR EN CHEF 1ERE CAT 2EME CL;510;0850;25/06/2007;1;INGENIEUR EN CHEF DE CLASSE NORMALE
0209;8;INGENIEUR EN CHEF 1ERE CAT 1ERE CL;510;0851;25/06/2007;1;INGENIEUR EN CHEF DE CL EXCEPTIONNELLE
0210;8;INGENIEUR EN CHEF 1ERE CAT HORS CL;510;0851;25/06/2007;1;INGENIEUR EN CHEF DE CL EXCEPTIONNELLE
0211;8;ADJOINT TECHNIQUE CLASSE NORMALE;510;0564;01/08/1996;8;TECHNICIEN SUPERIEUR (ADJOINT TECHN CL NORMALE)
0212;8;ADJOINT TECHNIQUE CLASSE SUPERIEURE;510;0564;01/08/1996;8;TECHNICIEN SUPERIEUR (ADJOINT TECHN CL NORMALE)
0213;8;ADJOINT TECHNIQUE CLASSE EXCEPTIONNELLE;510;0521;01/08/1996;8;TECHNICIEN SUPERIEUR CHEF (ADJOINT TECHN CL EXCEPTIONNELLE)
0218;8;CONSERVATEUR DU PATRIMOINE DE 1ERE CLASSE;110;0922;01/04/2008;1;CONSERVATEUR DU PATRIMOINE
0218;8;CONSERVATEUR DU PATRIMOINE DE 1ERE CLASSE;110;0923;01/04/2008;1;CONSERVATEUR DU PATRIMOINE (ECHELONS PROVISOIRES)
0219;8;CONSERVATEUR DU PATRIMOINE DE 2EME CLASSE*(2EME CAT);110;0922;01/04/2008;1;CONSERVATEUR DU PATRIMOINE
0219;8;CONSERVATEUR DU PATRIMOINE DE 2EME CLASSE*(2EME CAT);110;0923;01/04/2008;1;CONSERVATEUR DU PATRIMOINE (ECHELONS PROVISOIRES)
0221;8;CONSERVATEUR DE BIBLIOTHEQUE DE 1ERE CLASSE;110;0956;01/01/2010;1;CONSERVATEUR DE BIBLIOTHEQUES
0222;8;CONSERVATEUR DE BIBLIOTHEQUE 2EME CLASSE* (1ERE CAT);110;0244;02/04/1996;8;CONSERVATEUR DE BIBLIOTHEQUE 2EME CLASSE*(2EME CAT)
