CodeEmploiGrade_neg;LibelleEmploiNEG;FiliereNEG;CadredemploiNEG;etatemploigrade;CodeNETNEH_neg;CodeNETNEH;libelleNETNEH;cadredemploiNETNEH;FiliereNETNEH
0028;AIDE AGENT TECHNIQUE;TECHNIQUE;Agents technique territoriaux;8;;TTH1;Adjoint  technique de 2ème classe;adjoints techniques territoriaux;Filière technique
0029;CHEF DE GARAGE;TECHNIQUE;Conducteurs territoriaux;8;ATC4;TTH3;Adjoint technique principal de 2ème classe;adjoints techniques territoriaux;Filière technique
0030;CONDUCTEUR SPECIALISE 2EME NIVEAU;TECHNIQUE;Conducteurs territoriaux;8;ATC3;TTH2;Adjoint  technique de 1ère classe;adjoints techniques territoriaux;Filière technique
0031;CONDUCTEUR SPECIALISE 1ER NIVEAU;TECHNIQUE;Conducteurs territoriaux;8;ATC2;TTH1;Adjoint  technique de 2ème classe;adjoints techniques territoriaux;Filière technique
0032;CONDUCTEUR;TECHNIQUE;Conducteurs territoriaux;8;ATC1;TTH1;Adjoint  technique de 2ème classe;adjoints techniques territoriaux;Filière technique
0033;AGENT DE SALUBRITE PRINCIPAL;TECHNIQUE;Agents de salubrite territoriaux;8;ATS3;TTH3;Adjoint technique principal de 2ème classe;adjoints techniques territoriaux;Filière technique
0034;AGENT DE SALUBRITE QUALIFIE;TECHNIQUE;Agents de salubrite territoriaux;8;ATS2;TTH2;Adjoint  technique de 1ère classe;adjoints techniques territoriaux;Filière technique
0035;AGENT DE SALUBRITE;TECHNIQUE;Agents de salubrite territoriaux;8;ATS1;TTH1;Adjoint  technique de 2ème classe;adjoints techniques territoriaux;Filière technique
0036;AGENT D ENTRETIEN QUALIFIE;TECHNIQUE;Agents d entretien territoriaux;8;ATE2;TTH1;Adjoint  technique de 2ème classe;adjoints techniques territoriaux;Filière technique
0037;AGENT D ENTRETIEN;TECHNIQUE;Agents d entretien territoriaux;8;ATE1;TTH1;Adjoint  technique de 2ème classe;adjoints techniques territoriaux;Filière technique
0044;INFIRMIERE CLASSE NORMALE;INFIRMIER;Infirmiers;8;;2432;Infirmier d.e de classe normale;Infirmier;Personnels des services de soins
0045;INFIRMIERE CLASSE SUPERIEURE;INFIRMIER;Infirmiers;8;;2432;Infirmier d.e de classe normale;Infirmier;Personnels des services de soins
0046;INFIRMIERE, SURVEILLANTE DES SERVICES MEDICAUX (GRADE PROVISOIRE);INFIRMIER;Infirmiers;8;HHB3;2801;Infirmier cadre de santé;Cadre de santé;Personnels des services de soins
0047;INFIRMIERE DE SALLE D'OPERATION DE CLASSE NORMALE;INFIRMIER;Infirmiers de salle d operation;8;;2460;Infirmier de bloc opératoire de classe normale;Infirmier de bloc opératoire;Personnels des services de soins
0048;INFIRMIERE DE SALLE D'OPERATION DE CLASSE SUPERIEURE;INFIRMIER;Infirmiers de salle d operation;8;;2460;Infirmier de bloc opératoire de classe normale;Infirmier de bloc opératoire;Personnels des services de soins
0049;INFIRMIERE DE BLOC OPERATOIRE, SURVEILLANTE DES SERVICES MEDICAUX(PROVISOIRE);INFIRMIER;Infirmiers de salle d operation;8;HHD3;2802;Infirmier de bloc opératoire cadre de santé;Cadre de santé;Personnels des services de soins
0050;INFIRMIERE SPECIALISEE ANESTHESIE-REANIMATION CLASSE NORMALE;INFIRMIER;Infirmiers specialises en anesthesie reanimation;8;;2430;Infirmier anesthésiste d.e de classe normale;Infirmier anesthésiste;Personnels des services de soins
0051;INFIRMIERE SPECIALISEE ANEESTHESIE-REANIMATION CLASSE SUPE- RIEURE;INFIRMIER;Infirmiers specialises en anesthesie reanimation;8;;2430;Infirmier anesthésiste d.e de classe normale;Infirmier anesthésiste;Personnels des services de soins
0052;INFIRMIERE ANESTHESISTE, SURVEILLANTE DES SERVICES MEDICAUX (GRADE PROVISOIRE);INFIRMIER;Infirmiers specialises en anesthesie reanimation;8;HHC3;2803;Infirmier anesthésiste cadre de santé;Cadre de santé;Personnels des services de soins
0053;PUERICULTRICE CLASSE NORMALE;INFIRMIER;Puericultrices;8;;2440;Puéricultrice d.e de classe normale;Puéricultrice;Personnels des services de soins
0054;PUERICULTRICE CLASSE SUPERIEURE;INFIRMIER;Puericultrices;8;;2440;Puéricultrice d.e de classe normale;Puéricultrice;Personnels des services de soins
0055;PUERICULTRICE, SURVEILLANTE DES SERVICES MEDICAUX (GRADE PROVISOIRE);INFIRMIER;Puericultrices;8;HHE3;2804;Puéricultrice cadre de santé;Cadre de santé;Personnels des services de soins
0056;AIDE SOIGNANT CL NORMALE (E03);AIDE SOIGNANT;Aides soignants;8;3121;3121;Aide soignant de classe normale e3;Aide-soignant;Personnels des services de soins
0057;AIDE SOIGNANT CL SUPERIEURE (E04);AIDE SOIGNANT;Aides soignants;8;3122;3122;Aide soignant de classe supérieure e4;Aide-soignant;Personnels des services de soins
0058;AIDE MEDICO PSYCHO CL NOR (E03)(AIDE SOIGNANT);AIDE SOIGNANT;Aides soignants;8;3128;3128;Aide médico-psychologique de classe normale e3;Aide-soignant;Personnels des services de soins
0059;AIDE MEDICO PSYCHO CL SUP (E04) (AIDE SOIGNANT);AIDE SOIGNANT;Aides soignants;8;3129;3129;Aide médico-psychologique de classe supérieure e4;Aide-soignant;Personnels des services de soins
0060;AUX PUERICULTURE CL NOR (E03) (AIDE SOIGNANT);AIDE SOIGNANT;Aides soignants;8;3125;3125;Auxiliaire de puériculture de classe normale e3;Aide-soignant;Personnels des services de soins
0061;AUX PUERICULTURE CL SUPER (E04) (AIDE SOIGNANT);AIDE SOIGNANT;Aides soignants;8;3126;3126;Auxiliaire de puériculture de classe supérieure e4;Aide-soignant;Personnels des services de soins
0062;INFIRMIER SURVEILLANT CHEF DES SERVICES MEDICAUX;INFIRMIER;Infirmiers;8;;2001;Infirmier cadre supérieur de santé;Cadre de santé;Personnels des services de soins
0063;INFIRMIER DE SALLE D'OPERATION,SURVEILLANT CHEF DES SERVICESMEDICAUX;INFIRMIER;Infirmiers de salle d operation;8;;2002;Infirmier de bloc opératoire cadre supérieur de santé;Cadre de santé;Personnels des services de soins
0064;INFIRMIER SPECIALISE ANESTHESIE-REANIMATION,SURVEILLANT CHEFSERVICES MEDICAUX;INFIRMIER;Infirmiers specialises en anesthesie reanimation;8;;2003;Infirmier anesthésiste cadre supérieur de santé;Cadre de santé;Personnels des services de soins
0065;PUERICULTRICE SURVEILLANT CHEF DES SERVICES MEDICAUX;INFIRMIER;Puericultrices;8;;2004;Puéricultrice cadre supérieur de santé;Cadre de santé;Personnels des services de soins
0070;AGENT DES SERVICES HOSPITALIERS;AGENTS SERVICES HOSPITALIER;Agents des services hospitaliers;8;;3256;Agent des services hospitaliers qualifié e3 (25/06/07);Aide-soignant et ashq;Personnels des services de soins
0071;PEDICURE PODOLOGUE CLASSE NORMALE;PERS SOIGNANT ET EDUCATIF;Pedicures podologues;8;;2450;Pédicure-podologue de classe normale;Pédicure podologue;Personnels des services de soins
0072;PEDICURE PODOLOGUE CLASSE SUPERIEURE;PERS SOIGNANT ET EDUCATIF;Pedicures podologues;8;;2450;Pédicure-podologue de classe normale;Pédicure podologue;Personnels des services de soins
0073;PEDICURE PODOLOGUE SURVEILLANT DES SERVICES MEDICAUX (GRADE PROVISOIRE);PERS SOIGNANT ET EDUCATIF;Pedicures podologues;8;HRE3;2811;Pédicure-podologue cadre de santé;Cadre de santé;Personnels des services de soins
0074;PEDICURE PODOLOGUE SURVEILLANT-CHEF DES SERVICES MEDICAUX;PERS SOIGNANT ET EDUCATIF;Pedicures podologues;8;;2011;Pédicure podologue cadre supérieur de santé;Cadre de santé;Personnels des services de soins
0075;MASSEUR KINESITHERAPEUTE CLASSE NORMALE;PERS SOIGNANT ET EDUCATIF;Masseurs kinesitherapeutes;8;;2452;Masseur-kinesithérapeute de classe normale;Masseur-kinésithérapeute;Personnels des services de soins
0076;MASSEUR KINESITHERAPEUTE CLASSE SUPERIEURE;PERS SOIGNANT ET EDUCATIF;Masseurs kinesitherapeutes;8;;2452;Masseur-kinesithérapeute de classe normale;Masseur-kinésithérapeute;Personnels des services de soins
0077;MASSEUR KINESITHERAPEUTE SURVEILLANT DES SERVICES MEDICAUX (GRADE PROVISOIRE);PERS SOIGNANT ET EDUCATIF;Masseurs kinesitherapeutes;8;HRF3;2812;Masseur kinésithérapeute, cadre de santé;Cadre de santé;Personnels des services de soins
0078;MASSEUR KINESITHERAPEUTE SURVEILLANT-CHEF DES SERVICES MEDICAUX;PERS SOIGNANT ET EDUCATIF;Masseurs kinesitherapeutes;8;;2012;Masseur-kinésithérapeute cadre supérieur de santé;Cadre de santé;Personnels des services de soins
0079;ERGOTHERAPEUTE CLASSE NORMALE;PERS SOIGNANT ET EDUCATIF;Ergotherapeutes;8;;2453;Ergotherapeute de classe normale;Ergothérapeute;Personnels des services de soins
0080;ERGOTHERAPEUTE CLASSE SUPERIEURE;PERS SOIGNANT ET EDUCATIF;Ergotherapeutes;8;;2453;Ergotherapeute de classe normale;Ergothérapeute;Personnels des services de soins
0081;ERGOTHERAPEUTE, SURVEILLANTE DES SERVICES MEDICAUX;PERS SOIGNANT ET EDUCATIF;Ergotherapeutes;8;HRG3;2813;Ergothérapeute , cadre de santé;Cadre de santé;Personnels des services de soins
0082;ERGOTHERAPEUTE SURVEILLANT-CHEF DES SERVICES MEDICAUX;PERS SOIGNANT ET EDUCATIF;Ergotherapeutes;8;;2013;Ergothérapeute cadre supérieur de santé;Cadre de santé;Personnels des services de soins
0083;PSYCHOMOTRICIENNE CLASSE NORMALE;PERS SOIGNANT ET EDUCATIF;Psychomotriciens;8;;2454;Psychomotricien de classe normale;Psychomotricien;Personnels des services de soins
0084;PSYCHOMOTRICIENNE CLASSE SUPERIEURE;PERS SOIGNANT ET EDUCATIF;Psychomotriciens;8;;2454;Psychomotricien de classe normale;Psychomotricien;Personnels des services de soins
0085;PSYCHOMOTRICIENNE, SURVEILLANTE DES SERVICES MEDICAUX (GRADE PROVISOIRE);PERS SOIGNANT ET EDUCATIF;Psychomotriciens;8;;2814;Psychomotricien, cadre de santé;Cadre de santé;Personnels des services de soins
0086;PSYCHOMOTRICIEN SURVEILLANT-CHEF DES SERVICES MEDICAUX;PERS SOIGNANT ET EDUCATIF;Psychomotriciens;8;;2014;Psychomotricien cadre supérieur de santé;Cadre de santé;Personnels des services de soins
0087;ORTHOPHONISTE CLASSE NORMALE;PERS SOIGNANT ET EDUCATIF;Orthophonistes;8;;2455;Orthophoniste de classe normale;Orthophoniste;Personnels des services de soins
0088;ORTHOPHONISTE CLASSE SUPERIEURE;PERS SOIGNANT ET EDUCATIF;Orthophonistes;8;;2455;Orthophoniste de classe normale;Orthophoniste;Personnels des services de soins
0089;ORTHOPHONISTE, SURVEILLANTE DES SERVICES MEDICAUX (GRADE PROVISOIRE);PERS SOIGNANT ET EDUCATIF;Orthophonistes;8;HRA3;2815;Orthophoniste cadre de santé;Cadre de santé;Personnels des services de soins
0090;ORTHOPHONISTE SURVEILLANT-CHEF DES SERVICES MEDICAUX;PERS SOIGNANT ET EDUCATIF;Orthophonistes;8;;2015;Orthophoniste cadre supérieur de santé;Cadre de santé;Personnels des services de soins
0091;ORTHOPTISTE CLASSE NORMALE;PERS SOIGNANT ET EDUCATIF;Orthoptistes;8;;2456;Orthoptiste de classe normale;Orthoptiste;Personnels des services de soins
0092;ORTHOPTISTE CLASSE SUPERIEURE;PERS SOIGNANT ET EDUCATIF;Orthoptistes;8;;2456;Orthoptiste de classe normale;Orthoptiste;Personnels des services de soins
0093;ORTHOPTISTE SURVEILLANTE DES SERVICES MEDICAUX (GRADE PROVISOIRE);PERS SOIGNANT ET EDUCATIF;Orthoptistes;8;HRB3;2816;Orthoptiste cadre de santé;Cadre de santé;Personnels des services de soins
0094;ORTHOPTISTE SURVEILLANT-CHEF DES SERVICES MEDICAUX;PERS SOIGNANT ET EDUCATIF;Orthoptistes;8;;2016;Orthoptiste cadre supérieur de santé;Cadre de santé;Personnels des services de soins
0095;DIETETICIENNE CLASSE NORMALE;PERS SOIGNANT ET EDUCATIF;Dieteticiens;8;;2457;Dietéticien de classe normale;Diététicien;Personnels des services de soins
0096;DIETETICIENNE CLASSE SUPERIEURE;PERS SOIGNANT ET EDUCATIF;Dieteticiens;8;;2457;Dietéticien de classe normale;Diététicien;Personnels des services de soins
0097;DIETETICIENNE, SURVEILLANTE DES SERVICES MEDICAUX (GRADE PROVISOIRE);PERS SOIGNANT ET EDUCATIF;Dieteticiens;8;;2817;Diététicien cadre de santé;Cadre de santé;Personnels des services de soins
0098;DIETETICIEN SURVEILLANT-CHEF DES SERVICES MEDICAUX;PERS SOIGNANT ET EDUCATIF;Dieteticiens;8;;2017;Dietéticien cadre supérieur de santé;Cadre de santé;Personnels des services de soins
0099;SAGE FEMME;PERS SOIGNANT ET EDUCATIF;Sages femmes;8;HFA1;2334;Sage-femme de classe normale;Sage-femme;Personnels des services de soins
0100;SAGE FEMME CHEF D UNITE;PERS SOIGNANT ET EDUCATIF;Sages femmes;8;HFA2;2319;Sage-femme cadre;Sage-femme;Personnels des services de soins
0101;SAGE FEMME SURVEILLANTE-CHEF;PERS SOIGNANT ET EDUCATIF;Sages femmes;8;HFA3;2212;Sage-femme cadre supérieur;Sage-femme;Personnels des services de soins
0102;PREPARATRICE EN PHARMACIE CLASSE NORMALE;MEDICO-TECHNIQUE;Preparateurs en pharmacie;8;HMC3;2257;Préparateur en pharmacie hospitalière de classe normale;Préparateur en pharmacie hospitalière;Personnels médico-techniques
0103;PREPARATRICE EN PHARMACIE CLASSE FONCTIONNELLE;MEDICO-TECHNIQUE;Preparateurs en pharmacie;8;HMC4;2821;Préparateur en pharmacie hospitalière cadre de santé;Cadre de santé;Personnels médico-techniques
0104;TECHNICIEN DE LABORATOIRE CL NORMALE;MEDICO-TECHNIQUE;Techniciens de laboratoire;8;;2458;Technicien de laboratoire de classe normale;Technicien de laboratoire;Personnels médico-techniques
0105;TECHNICIENNE DE LABORATOIRE CL SUPERIEURE;MEDICO-TECHNIQUE;Techniciens de laboratoire;8;;2458;Technicien de laboratoire de classe normale;Technicien de laboratoire;Personnels médico-techniques
0106;TECHNICIENNE DE LABORATOIRE SURVEILLANTE (GRADE PROVISOIRE);MEDICO-TECHNIQUE;Techniciens de laboratoire;8;HMA5;2822;Technicien de laboratoire cadre de santé;Cadre de santé;Personnels médico-techniques
0107;TECHNICIEN DE LABORATOIRE SURVEILLANT CHEF;MEDICO-TECHNIQUE;Techniciens de laboratoire;8;;2022;Technicien de laboratoire cadre supérieur de santé;Cadre de santé;Personnels médico-techniques
0108;MANIPULATRICE D'ELECTRORADIOLOGIE MEDICALE CLASSE NORMALE;MEDICO-TECHNIQUE;Manipulateurs electroradiologie medicale;8;;2459;Manipulateur d'électroradiologie médicale de classe normale;Manipulateur électroadiologie médicale;Personnels médico-techniques
0109;MANIPULATRICE D'ELECTRORADIOLOGIE MEDICALE CLASSE SUPERIEURE;MEDICO-TECHNIQUE;Manipulateurs electroradiologie medicale;8;;2459;Manipulateur d'électroradiologie médicale de classe normale;Manipulateur électroadiologie médicale;Personnels médico-techniques
0110;MANIPULATRICE D'ELECTRORADIOLOGIE SURVEILLANTE (GRADE PROVISOIRE);MEDICO-TECHNIQUE;Manipulateurs electroradiologie medicale;8;HMB3;2823;Manipulateur d'électroradiologie médicale cadre de santé;Cadre de santé;Personnels médico-techniques
0111;MANIPULATEUR D ELECTRORADIOLOGIE MEDICALE,SURVEILLANT-CHEF;MEDICO-TECHNIQUE;Manipulateurs electroradiologie medicale;8;;2023;Manipulateur d'électroradiologie médicale cadre supérieur de santé;Cadre de santé;Personnels médico-techniques
0112;AIDE DE PHARMACIE DE CLASSE NORMALE(*);MEDICO-TECHNIQUE;Aides de pharmacie;1;3141;3141;Aide de pharmacie de classe normale e3 (cadre d'extinction);Aide de pharmacie;Personnels médico-techniques
0113;AIDE DE LABORATOIRE DE CLASSE NORMALE(*);MEDICO-TECHNIQUE;Aides de laboratoire;1;3143;3143;Aide de laboratoire de classe normale e3 (cadre d'extinction);Aide de laboratoire;Personnels médico-techniques
0114;DIRECTEUR ECOLE/CENTRE PROFESSIONS PARAMEDICALES;ADMINISTRATIF;Directeurs des ecoles paramedicales;8;HDD4;1622;Directeurs des soins services infirmiers de 2ème classe;Directeur des soins;Personnel de direction et personnels administratifs
0115;DIRECTEUR D'ECOLE DE CADRES PARAMEDICAUX;ADMINISTRATIF;Directeurs des ecoles paramedicales;8;1612;1612;Directeurs des soins services infirmiers de 1ère classe;Directeur des soins;Personnel de direction et personnels administratifs
0116;INFIRMIER GENERAL DE 2EME CLASSE;PERS SOIGNANT ET EDUCATIF;Directeurs des ecoles paramedicales;8;HHA1;1622;Directeurs des soins services infirmiers de 2ème classe;Directeur des soins;Personnel de direction et personnels administratifs
0117;INFIRMIER GENERAL DE 1ERE CLASSE;PERS SOIGNANT ET EDUCATIF;Directeurs des ecoles paramedicales;8;HHA2;1612;Directeurs des soins services infirmiers de 1ère classe;Directeur des soins;Personnel de direction et personnels administratifs
0118;PERSONNEL DE DIRECTION DE PREMIERE CLASSE;DIRECTION;Personnels de direction;8;0012;0012;Directeur 1ère classe (13.03.2000);Directeur d'hôpital;Personnel de direction et personnels administratifs
0119;PERSONNEL DE DIRECTION DE DEUXIEME CLASSE;DIRECTION;Personnels de direction;8;0021;0021;Directeur 2ème classe (13.03.2000);Directeur d'hôpital;Personnel de direction et personnels administratifs
0120;PERSONNEL DE DIRECTION DE TROISIEME CLASSE;DIRECTION;Personnels de direction;8;0031;0031;Directeur 3ème classe (13.03.2000);Directeur d'hôpital;Personnel de direction et personnels administratifs
0121;PERSONNEL DE DIRECTION DE QUATRIEME CLASSE(*);DIRECTION;Personnels de direction;8;0048;0048;Directeur 4ème classe (01.07.1998) (en extinction);Directeur d'hôpital;Personnel de direction et personnels administratifs
0122;INGENIEUR EN CHEF 1ERE CATEGORIE HORS CLASSE;TECHNIQUE;Ingenieurs territoriaux;8;ATG5;TTG4;Ingénieur en chef de classe exceptionnelle;ingénieurs territoriaux;Filière technique
0123;INGENIEUR EN CHEF 1ERE CATEGORIE 1ERE CLASSE;TECHNIQUE;Ingenieurs territoriaux;8;;TTG4;Ingénieur en chef de classe exceptionnelle;ingénieurs territoriaux;Filière technique
0124;INGENIEUR EN CHEF 1ERE CATEGORIE 2EME CLASSE;TECHNIQUE;Ingenieurs territoriaux;8;;TTG3;Ingénieur en chef de classe normale;ingénieurs territoriaux;Filière technique
0125;INGENIEUR PRINCIPAL (CHEF);TECHNIQUE;Ingenieurs territoriaux;1;TTG2;TTG2;Ingénieur principal;ingénieurs territoriaux;Filière technique
0126;INGENIEUR (SUBDIVISIONNAIRE);TECHNIQUE;Ingenieurs territoriaux;1;TTG1;TTG1;Ingénieur;ingénieurs territoriaux;Filière technique
0127;INFIRMIER SPECIALISE ECHELLE INFIRMIER SALLE D'OPERATION CLASSE NORMALE;INFIRMIER;Infirmiers;8;;2432;Infirmier d.e de classe normale;Infirmier;Personnels des services de soins
0128;CHEF DE BUREAU (*);ADMINISTRATIF;Chefs de bureau;8;HAA1;0430;Attaché d'administration hospitalière;Attaché d'administration hospitalière;Personnel de direction et personnels administratifs
0129;ADJOINT DES CADRES HOSPITALIERS CLASSE EXCEPTIONNELLE;ADMINISTRATIF;Adjoints des cadres hospitaliers;8;;1253;Adjoint des cadres hospitaliers de classe exceptionnelle;Adjoint des cadres hospitaliers;Personnel de direction et personnels administratifs
0130;ADJOINT DES CADRES HOSPITALIERS DE CLASSE SUPERIEURE;ADMINISTRATIF;Adjoints des cadres hospitaliers;8;;1252;Adjoint des cadres hospitaliers de classe supérieure;Adjoint des cadres hospitaliers;Personnel de direction et personnels administratifs
0131;ADJOINT DES CADRES HOSPITALIERS DE CLASSE NORMALE;ADMINISTRATIF;Adjoints des cadres hospitaliers;8;;1251;Adjoint des cadres hospitaliers de classe normale;Adjoint des cadres hospitaliers;Personnel de direction et personnels administratifs
0132;SECRETAIRE MEDICAL DE CLASSE EXCEPTIONNELLE;ADMINISTRATIF;Secretaires medicaux;8;;1353;Secrétaire médicale de classe exceptionnelle;Secrétaire médical;Personnel de direction et personnels administratifs
0133;SECRETAIRE MEDICAL DE CLASSE SUPERIEURE;ADMINISTRATIF;Secretaires medicaux;8;;1451;Secrétaire médicale de classe normale;Secrétaire médical;Personnel de direction et personnels administratifs
0134;SECRETAIRE MEDICAL DE CLASSE NORMALE;ADMINISTRATIF;Secretaires medicaux;8;;1451;Secrétaire médicale de classe normale;Secrétaire médical;Personnel de direction et personnels administratifs
0135;ADJOINT ADMINISTRATIF HOSP 1ERE CL (E05);ADMINISTRATIF;Adjoints administratifs hospitaliers;8;1312;1312;Adjoint administratif hospitalier de 1ère classe e5;Adjoint administratif hospitalier;Personnel de direction et personnels administratifs
0136;ADJOINT ADMINISTRATIF HOSP 2EME CL (E04);ADMINISTRATIF;Adjoints administratifs hospitaliers;8;1412;1412;Adjoint administratif hospitalier de 2ème classe e4;Adjoint administratif hospitalier;Personnel de direction et personnels administratifs
0137;AGENT ADMINISTRATIF PRINCIPAL;ADMINISTRATIF;Agents administratifs;8;1502;1506;Agent administratif (r e2 + e3);Agent administratif;Personnel de direction et personnels administratifs
0138;AGENT ADMINISTRATIF;ADMINISTRATIF;Agents administratifs;8;1504;1506;Agent administratif (r e2 + e3);Agent administratif;Personnel de direction et personnels administratifs
0139;PERMANENCIER AUX DE REGUL MEDIC PRINCIPAL;ADMINISTRATIF;Permanenciers auxiliaires de regulation medicale;1;1562;1562;Permanencier auxilliaire de régulation médicale principal e5;Permanencier auxilliaire de régulation médicale;Personnel de direction et personnels administratifs
0140;PERMANENCIER AUX DE REGUL MEDICALE;ADMINISTRATIF;Permanenciers auxiliaires de regulation medicale;1;1561;1561;Permanencier auxilliaire de régulation médicale e4;Permanencier auxilliaire de régulation médicale;Personnel de direction et personnels administratifs
0141;CHEF DE STANDARD TELEPHONIQUE;ADMINISTRATIF;Standardistes;8;1332;1332;Chef de standard téléphonique e5;Standardiste;Personnel de direction et personnels administratifs
0142;STANDARDISTE PRINCIPAL;ADMINISTRATIF;Standardistes;8;1432;1437;Standardiste (r e2 + e3);Standardiste;Personnel de direction et personnels administratifs
0143;STANDARDISTE;ADMINISTRATIF;Standardistes;8;1542;1437;Standardiste (r e2 + e3);Standardiste;Personnel de direction et personnels administratifs
0144;SAPEUR DE DEUXIEME CLASSE * SANS MAJORATION;INCENDIE ET SECOURS;Sapeurs pompiers professionnels non officiers;8;ARS1;TRU1;Sapeur de 2e classe;sapeurs et caporaux de sapeurs-pompiers professionnel;Filière incendie et secours
0145;SAPEUR DE PREMIERE CLASSE * SANS MAJORATION;INCENDIE ET SECOURS;Sapeurs pompiers professionnels non officiers;8;ARS2;TRU2;Sapeur de 2e classe;sapeurs et caporaux de sapeurs-pompiers professionnel;Filière incendie et secours
