code_grade_NEG;code_etat_grade;libelle_grade_NEG;categh;code_FP;code_cadre_corps;code_etat_cadre_corps;libelle_cadre_corps;code_filiere
0031;8;CONDUCTEUR SPECIALISE 1ER NIVEAU;C;110;11;1;CONDUCTEURS TERRITORIAUX DE VEHICULES;2
0032;8;CONDUCTEUR;C;110;11;1;CONDUCTEURS TERRITORIAUX DE VEHICULES;2
0033;8;AGENT DE SALUBRITE PRINCIPAL;C;110;12;1;AGENTS DE SALUBRITE TERRITORIAUX;2
0034;8;AGENT DE SALUBRITE QUALIFIE;C;110;12;1;AGENTS DE SALUBRITE TERRITORIAUX;2
0035;8;AGENT DE SALUBRITE;C;110;12;1;AGENTS DE SALUBRITE TERRITORIAUX;2
0036;8;AGENT D ENTRETIEN QUALIFIE;C;110;13;1;AGENTS D ENTRETIEN TERRITORIAUX;2
0037;8;AGENT D ENTRETIEN;C;110;13;1;AGENTS D ENTRETIEN TERRITORIAUX;2
0044;8;INFIRMIER CLASSE NORMALE;B;510;14;1;INFIRMIERS;<null>
0045;8;INFIRMIER CLASSE SUPERIEURE;B;510;14;1;INFIRMIERS;<null>
0046;8;INFIRMIER SURVEILLANT DES SERVICES MEDICAUX;B;510;14;1;INFIRMIERS;<null>
0047;8;INFIRMIER DE SALLE D'OPERATION DE CLASSE NORMALE;B;510;15;1;INFIRMIERS DE SALLE D'OPERATION;<null>
0048;8;INFIRMIER DE SALLE D'OPERATION DE CLASSE SUPERIEURE;B;510;15;1;INFIRMIERS DE SALLE D'OPERATION;<null>
0049;8;INFIRMIER DE BLOC OPERATOIRE, SURVEILLANT DES SERVICES;B;510;15;1;INFIRMIERS DE SALLE D'OPERATION;<null>
0050;8;INFIRMIER SPEC ANESTHESIE-REANIMATION CL NORMALE;B;510;16;1;INFIRMIERS SPECIALISES EN ANESTHESIE REANIMATION;<null>
0051;8;INFIRMIER SPEC ANESTHESIE-REANIMATION CL SUPERIEURE;B;510;16;1;INFIRMIERS SPECIALISES EN ANESTHESIE REANIMATION;<null>
0052;8;INFIRMIER ANESTHESISTE, SURVEILLANT DES SERVICES MEDICAUX;B;510;16;1;INFIRMIERS SPECIALISES EN ANESTHESIE REANIMATION;<null>
0053;8;PUERICULTRICE CLASSE NORMALE;B;510;17;1;PUERICULTRICES;<null>
0054;8;PUERICULTRICE CLASSE SUPERIEURE;B;510;17;1;PUERICULTRICES;<null>
0055;8;;B;510;17;1;PUERICULTRICES;<null>
0056;8;AIDE SOIGNANT CL NORMALE (E03);C;510;18;1;AIDES SOIGNANTS;<null>
0057;8;AIDE SOIGNANT CL SUPERIEURE (E04);C;510;18;1;AIDES SOIGNANTS;<null>
0058;8;AIDE MEDICO PSYCHO CL NOR (E03)(AIDE SOIGNANT);C;510;18;1;AIDES SOIGNANTS;<null>
0059;8;AIDE MEDICO PSYCHO CL SUP (E04) (AIDE SOIGNANT);C;510;18;1;AIDES SOIGNANTS;<null>
0060;8;AUX PUERICULTURE CL NOR (E03) (AIDE SOIGNANT);C;510;18;1;AIDES SOIGNANTS;<null>
0061;8;AUX PUERICULTURE CL SUPER (E04) (AIDE SOIGNANT);C;510;18;1;AIDES SOIGNANTS;<null>
0062;8;INFIRMIER SURVEILLANT CHEF DES SERVICES MEDICAUX;B;510;14;1;INFIRMIERS;<null>
0063;8;INFIRMIER DE SALLE D'OPERATION,SURVEILLANT CHEF DES SERVICES;B;510;15;1;INFIRMIERS DE SALLE D'OPERATION;<null>
0064;8;INFIRMIER SPECIALISE ANESTHESIE-REANIMATION,SURVEILLANT CHEF;B;510;16;1;INFIRMIERS SPECIALISES EN ANESTHESIE REANIMATION;<null>
0065;8;PUERICULTRICE SURVEILLANT CHEF DES SERVICES MEDICAUX;B;510;17;1;PUERICULTRICES;<null>
0070;8;AGENT DES SERVICES HOSPITALIERS;D;510;19;1;AGENTS DES SERVICES HOSPITALIERS;<null>
0071;8;PEDICURE PODOLOGUE CLASSE NORMALE;B;510;20;1;PEDICURES PODOLOGUES;<null>
0072;8;PEDICURE PODOLOGUE CLASSE SUPERIEURE;B;510;20;1;PEDICURES PODOLOGUES;<null>
0073;8;PEDICURE PODOLOGUE SURVEILLANT DES SERVICES MEDICAUX;B;510;20;1;PEDICURES PODOLOGUES;<null>
0074;8;PEDICURE PODOLOGUE SURVEILLANT-CHEF DES SERVICES MEDICAUX;B;510;20;1;PEDICURES PODOLOGUES;<null>
0075;8;MASSEUR KINESITHERAPEUTE CLASSE NORMALE;B;510;21;1;MASSEURS KINESITHERAPEUTES;<null>
0076;8;MASSEUR KINESITHERAPEUTE CLASSE SUPERIEURE;B;510;21;1;MASSEURS KINESITHERAPEUTES;<null>
0077;8;MASSEUR KINESITHERAPEUTE SURVEILLANT DES SERVICES MEDICAUX;B;510;21;1;MASSEURS KINESITHERAPEUTES;<null>
0078;8;MASSEUR KINESITHERAPEUTE SURVEILLANT-CHEF DES SERVICES;B;510;21;1;MASSEURS KINESITHERAPEUTES;<null>
0079;8;ERGOTHERAPEUTE CLASSE NORMALE;B;510;22;1;ERGOTHERAPEUTES;<null>
0080;8;ERGOTHERAPEUTE CLASSE SUPERIEURE;B;510;22;1;ERGOTHERAPEUTES;<null>
0081;8;ERGOTHERAPEUTE SURVEILLANT DES SERVICES MEDICAUX;B;510;22;1;ERGOTHERAPEUTES;<null>
0082;8;ERGOTHERAPEUTE SURVEILLANT-CHEF DES SERVICES MEDICAUX;B;510;22;1;ERGOTHERAPEUTES;<null>
0083;8;PSYCHOMOTRICIEN CLASSE NORMALE;B;510;23;1;PSYCHOMOTRICIENS;<null>
0084;8;PSYCHOMOTRICIEN CLASSE SUPERIEURE;B;510;23;1;PSYCHOMOTRICIENS;<null>
0085;8;PSYCHOMOTRICIEN SURVEILLANT DES SERVICES MEDICAUX;B;510;23;1;PSYCHOMOTRICIENS;<null>
0086;8;PSYCHOMOTRICIEN SURVEILLANT-CHEF DES SERVICES MEDICAUX;B;510;23;1;PSYCHOMOTRICIENS;<null>
0087;8;ORTHOPHONISTE CLASSE NORMALE;B;510;24;1;ORTHOPHONISTES;<null>
0088;8;ORTHOPHONISTE CLASSE SUPERIEURE;B;510;24;1;ORTHOPHONISTES;<null>
0089;8;ORTHOPHONISTE SURVEILLANT DES SERVICES MEDICAUX;B;510;24;1;ORTHOPHONISTES;<null>
0090;8;ORTHOPHONISTE SURVEILLANT-CHEF DES SERVICES MEDICAUX;B;510;24;1;ORTHOPHONISTES;<null>
0091;8;ORTHOPTISTE CLASSE NORMALE;B;510;25;1;ORTHOPTISTES;<null>
0092;8;ORTHOPTISTE CLASSE SUPERIEURE;B;510;25;1;ORTHOPTISTES;<null>
0093;8;ORTHOPTISTE SURVEILLANT DES SERVICES MEDICAUX;B;510;25;1;ORTHOPTISTES;<null>
0094;8;ORTHOPTISTE SURVEILLANT-CHEF DES SERVICES MEDICAUX;B;510;25;1;ORTHOPTISTES;<null>
0095;8;DIETETICIEN CLASSE NORMALE;B;510;26;1;DIETETICIENS;<null>
0096;8;DIETETICIEN CLASSE SUPERIEURE;B;510;26;1;DIETETICIENS;<null>
0097;8;DIETETICIEN SURVEILLANT DES SERVICES MEDICAUX;B;510;26;1;DIETETICIENS;<null>
0098;8;DIETETICIEN SURVEILLANT-CHEF DES SERVICES MEDICAUX;B;510;26;1;DIETETICIENS;<null>
0099;8;SAGE FEMME;A;510;27;1;SAGES-FEMMES;<null>
0100;8;SAGE FEMME CHEF D UNITE;A;510;27;1;SAGES-FEMMES;<null>
0101;8;SAGE FEMME SURVEILLANTE-CHEF;A;510;27;1;SAGES-FEMMES;<null>
0102;8;PREPARATEUR EN PHARMACIE CLASSE NORMALE;B;510;28;1;PREPARATEURS EN PHARMACIE;<null>
0103;8;PREPARATEUR EN PHARMACIE  CLASSE FONCTIONNELLE;B;510;28;1;PREPARATEURS EN PHARMACIE;<null>
0104;8;TECHNICIEN DE LABORATOIRE CL NORMALE;B;510;32;1;TECHNICIENS DE LABORATOIRE;<null>
0105;8;TECHNICIEN DE LABORATOIRE CL SUPERIEURE;B;510;32;1;TECHNICIENS DE LABORATOIRE;<null>
0106;8;TECHNICIEN DE LABORATOIRE SURVEILLANT;B;510;32;1;TECHNICIENS DE LABORATOIRE;<null>
0107;8;TECHNICIEN DE LABORATOIRE SURVEILLANT CHEF;B;510;32;1;TECHNICIENS DE LABORATOIRE;<null>
0108;8;MANIPULATEUR D ELECTRORADIOLOGIE MEDICALE CLASSE NORMALE;B;510;29;1;MANIPULATEURS D'ELECTRORADIOLOGIE MEDICALE;<null>
0109;8;MANIPULATEUR D ELECTRORADIOLOGIE MEDICALE CLASSE SUPERIEURE;B;510;29;1;MANIPULATEURS D'ELECTRORADIOLOGIE MEDICALE;<null>
0110;8;MANIPULATEUR D ELECTRORADIOLOGIE SURVEILLANT;A;510;29;1;MANIPULATEURS D'ELECTRORADIOLOGIE MEDICALE;<null>
0111;8;MANIPULATEUR D ELECTRORADIOLOGIE MEDICALE,SURVEILLANT-CHEF;B;510;29;1;MANIPULATEURS D'ELECTRORADIOLOGIE MEDICALE;<null>
0112;1;AIDE DE PHARMACIE DE CLASSE NORMALE(*);C;510;30;1;AIDES DE PHARMACIE;<null>
0113;1;AIDE DE LABORATOIRE DE CLASSE NORMALE(*);C;510;31;1;AIDES DE LABORATOIRE;<null>
0114;8;DIRECTEUR ECOLE/CENTRE PROFESSIONS PARAMEDICALES;A;510;33;1;DIRECTEURS DES ECOLES PARAMEDICALES;<null>
0115;8;DIRECTEUR D'ECOLE DE CADRES PARAMEDICAUX;A;510;33;1;DIRECTEURS DES ECOLES PARAMEDICALES;<null>
0116;8;INFIRMIER GENERAL DE 2EME CLASSE;A;510;35;1;INFIRMIERS GENERAUX;<null>
0117;8;INFIRMIER GENERAL DE 1ERE CLASSE;A;510;35;1;INFIRMIERS GENERAUX;<null>
0118;8;PERSONNEL DE DIRECTION DE PREMIERE CLASSE;A;510;34;1;PERSONNELS DE DIRECTION;<null>
0119;8;PERSONNEL DE DIRECTION DE DEUXIEME CLASSE;A;510;34;1;PERSONNELS DE DIRECTION;<null>
0120;8;PERSONNEL DE DIRECTION DE TROISIEME CLASSE;A;510;34;1;PERSONNELS DE DIRECTION;<null>
0121;8;PERSONNEL DE DIRECTION DE QUATRIEME CLASSE(*);A;510;34;1;PERSONNELS DE DIRECTION;<null>
0122;8;INGENIEUR EN CHEF 1ERE CATEGORIE HORS CLASSE;A;110;36;1;INGENIEURS TERRITORIAUX;2
0123;8;INGENIEUR EN CHEF 1ERE CATEGORIE 1ERE CLASSE;A;110;36;1;INGENIEURS TERRITORIAUX;2
0124;8;INGENIEUR EN CHEF 1ERE CATEGORIE 2EME CLASSE;A;110;36;1;INGENIEURS TERRITORIAUX;2
0125;1;INGENIEUR PRINCIPAL;A;110;36;1;INGENIEURS TERRITORIAUX;2
0126;1;INGENIEUR (SUBDIVISIONNAIRE);A;110;36;1;INGENIEURS TERRITORIAUX;2
0127;8;INFIRMIER SPECIALISE ECHELLE INFIRMIER SALLE D'OPERATION;B;510;14;1;INFIRMIERS;<null>
0128;8;CHEF DE BUREAU (*);A;510;37;1;CHEFS DE BUREAU;<null>
0129;8;ADJOINT DES CADRES HOSPITALIERS CLASSE EXCEPTIONNELLE;B;510;38;1;ADJOINTS DES CADRES HOSPITALIERS;<null>
0130;8;ADJOINT DES CADRES HOSPITALIERS DE CLASSE SUPERIEURE;B;510;38;1;ADJOINTS DES CADRES HOSPITALIERS;<null>
0131;8;ADJOINT DES CADRES HOSPITALIERS DE CLASSE NORMALE;B;510;38;1;ADJOINTS DES CADRES HOSPITALIERS;<null>
0132;8;SECRETAIRE MEDICAL DE CLASSE EXCEPTIONNELLE;B;510;39;1;SECRETAIRES MEDICAUX;<null>
0133;8;SECRETAIRE MEDICAL DE CLASSE SUPERIEURE;B;510;39;1;SECRETAIRES MEDICAUX;<null>
0134;8;SECRETAIRE MEDICAL DE CLASSE NORMALE;B;510;39;1;SECRETAIRES MEDICAUX;<null>
0135;8;ADJOINT ADMINISTRATIF HOSP 1ERE CL (E05);C;510;40;1;ADJOINTS ADMINISTRATIFS HOSPITALIERS;<null>
0136;8;ADJOINT ADMINISTRATIF HOSP 2EME CL (E04);C;510;40;1;ADJOINTS ADMINISTRATIFS HOSPITALIERS;<null>
0137;8;AGENT ADMINISTRATIF PRINCIPAL;C;510;41;1;AGENTS ADMINISTRATIFS;<null>
0138;8;AGENT ADMINISTRATIF;C;510;41;1;AGENTS ADMINISTRATIFS;<null>
0139;1;PERMANENCIER AUX DE REGUL MEDIC PRINCIPAL *;C;510;42;1;PERMANENCIERS AUXILIAIRES DE REGULATION MEDICALE;<null>
0140;1;PERMANENCIER AUX DE REGUL MEDICALE *;C;510;42;1;PERMANENCIERS AUXILIAIRES DE REGULATION MEDICALE;<null>
0141;8;CHEF DE STANDARD TELEPHONIQUE;C;510;43;1;STANDARDISTES;<null>
0142;8;STANDARDISTE PRINCIPAL;C;510;43;1;STANDARDISTES;<null>
0143;8;STANDARDISTE;C;510;43;1;STANDARDISTES;<null>
0144;8;SAPEUR DE DEUXIEME CLASSE * SANS MAJORATION;C;110;44;1;SAPEURS POMPIERS PROFESSIONNELS NON OFFICIERS;3
0145;8;SAPEUR DE PREMIERE CLASSE * SANS MAJORATION;C;110;44;1;SAPEURS POMPIERS PROFESSIONNELS NON OFFICIERS;3
0146;1;CAPORAL * SANS MAJORATION*;C;110;44;1;SAPEURS POMPIERS PROFESSIONNELS NON OFFICIERS;3
0147;1;SERGENT * SANS MAJORATION;C;110;44;1;SAPEURS POMPIERS PROFESSIONNELS NON OFFICIERS;3
0148;1;ADJUDANT  * SANS MAJORATION;C;110;44;1;SAPEURS POMPIERS PROFESSIONNELS NON OFFICIERS;3
0149;8;LIEUTENANT;B;110;45;1;LIEUTENANTS DE SAPEURS POMPIERS PROFESSIONNELS;3
0150;8;LIEUTENANT CHEF DE SECTION * SANS MAJORATION;B;110;45;1;LIEUTENANTS DE SAPEURS POMPIERS PROFESSIONNELS;3
0151;8;LIEUTENANT CHEF DE SECTION PRINCIPAL * SANS MAJORATION;B;110;45;1;LIEUTENANTS DE SAPEURS POMPIERS PROFESSIONNELS;3
0152;1;CAPITAINE * SANS MAJORATION;A;110;46;1;SAPEURS POMPIERS PROFESSIONNELS OFFICIERS;3
0153;8;COMMANDANT * SANS MAJORATION;A;110;46;1;SAPEURS POMPIERS PROFESSIONNELS OFFICIERS;3
0154;8;LIEUTENANT COLONEL * SANS MAJORATION;A;110;46;1;SAPEURS POMPIERS PROFESSIONNELS OFFICIERS;3
0155;1;COLONEL * SANS MAJORATION;A;110;46;1;SAPEURS POMPIERS PROFESSIONNELS OFFICIERS;3
0156;8;AGENT DE SALUBRITE EN CHEF;C;110;12;1;AGENTS DE SALUBRITE TERRITORIAUX;2
0157;8;AGENT TECHNIQUE EN CHEF;C;110;10;1;AGENTS TECHNIQUES TERRITORIAUX;2
0158;8;CHEF DE GARAGE PRINCIPAL;C;110;11;1;CONDUCTEURS TERRITORIAUX DE VEHICULES;2
0162;1;ADJOINT ADMINISTRATIF PRINCIPAL 1E CLASSE;C;110;5;1;ADJOINTS ADMINISTRATIFS TERRITORIAUX;1
0163;8;AGENT ADMINISTRATIF QUALIFIE STENODACTYLOGRAPHE;C;110;6;1;AGENTS ADMINISTRATIFS TERRITORIAUX;1
0164;8;DIRECTEUR ECOLE / CERTIFICAT CADRE SAGE-FEMME;A;510;48;1;DIRECTEURS D ECOLE DE SAGES-FEMMES;<null>
0165;8;DIRECTEUR ECOLE / DIPLOME D ETAT SAGE-FEMME;A;510;48;1;DIRECTEURS D ECOLE DE SAGES-FEMMES;<null>
0166;8;INFIRMIER SECTEUR PSYCHIATRIQUE CL NORMALE;B;510;14;1;INFIRMIERS;<null>
0167;8;INFIRMIER DE SECTEUR PSYCHIATRIQUE CLASSE SUPERIEURE;B;510;14;1;INFIRMIERS;<null>
0168;8;INFIRMIER AUTORISE CLASSE NORMALE;B;510;14;1;INFIRMIERS;<null>
0169;8;INFIRMIER AUTORISE CLASSE SUPERIEURE;B;510;14;1;INFIRMIERS;<null>
0170;8;DIRECTEUR DE 1ERE CL DES ETBTS SOCIAUX;A;510;49;1;PERSONNEL DIRECTION ETABLISSEMENTS SOCIAUX;<null>
0171;8;DIRECTEUR DE 2EME CL DES ETABTS SOCIAUX;A;510;49;1;PERSONNEL DIRECTION ETABLISSEMENTS SOCIAUX;<null>
0172;8;AGENT CHEF DE 2EME CATEGORIE;B;510;50;1;AGENTS CHEFS;<null>
0173;8;AGENT CHEF DE 1ERE CATEGORIE;B;510;50;1;AGENTS CHEFS;<null>
0174;8;CONTREMAITRE;C;510;51;1;CONTREMAITRES;<null>
0175;8;CONTREMAITRE PRINCIPAL (E06);C;510;51;1;CONTREMAITRES;<null>
0176;1;MAITRE OUVRIER;C;510;52;1;MAITRES OUVRIERS;<null>
0177;1;MAITRE OUVRIER PRINCIPAL;C;510;52;1;MAITRES OUVRIERS;<null>
0178;8;OUVRIER PROFESSIONNEL SPECIALISE;C;510;53;1;OUVRIERS PROFESSIONNELS;<null>
0179;1;OUVRIER PROFESSIONNEL QUALIFIE;C;510;53;1;OUVRIERS PROFESSIONNELS;<null>
0180;8;CHEF DE GARAGE;C;510;54;1;CHEFS DE GARAGE;<null>
0181;8;CHEF DE GARAGE PRINCIPAL;C;510;54;1;CHEFS DE GARAGE;<null>
0182;8;CONDUCTEUR AUTOMOBILE DEUXIEME CATEGORIE;C;510;55;1;CONDUCTEURS AUTOMOBILES;<null>
0183;8;CONDUCTEUR AUTOMOBILE 1ERE CATEGORIE;C;510;55;1;CONDUCTEURS AUTOMOBILES;<null>
0184;8;CONDUCTEUR AUTOMOBILE HORS CATEGORIE;C;510;55;1;CONDUCTEURS AUTOMOBILES;<null>
0186;1;CONDUCTEUR AMBULANCIER DE 1ERE CATEGORIE;C;510;56;1;CONDUCTEURS AMBULANCIERS;<null>
0187;8;AGENT TECHNIQUE D'ENTRETIEN;C;510;57;1;AGENTS TECHNIQUES D'ENTRETIEN;<null>
0188;8;AGENT TECHNIQUE D'ENTRETIEN PRINCIPAL;C;510;57;1;AGENTS TECHNIQUES D'ENTRETIEN;<null>
0189;8;AGENT D'AMPHITHEATRE DEUXIEME CATEGORIE;C;510;58;1;AGENTS D'AMPHITHEATRE;<null>
0190;8;AGENT D'AMPHITHEATRE PREMIERE CATEGORIE;C;510;58;1;AGENTS D'AMPHITHEATRE;<null>
0191;8;AGENT DE DESINFECTION DEUXIEME CATEGORIE;C;510;59;1;AGENTS DE DESINFECTION;<null>
0192;8;AGENT DE DESINFECTION PREMIERE CATEGORIE;C;510;59;1;AGENTS DE DESINFECTION;<null>
0193;8;AGENT D'ENTRETIEN SPECIALISE;C;510;60;1;AGENTS D'ENTRETIEN;<null>
0194;8;AGENT DU SERVICE INTERIEUR;D;510;61;1;AGENTS DU SERVICE INTERIEUR;<null>
0195;1;PSYCHOLOGUE DE CLASSE NORMALE;A;510;62;1;PSYCHOLOGUES;<null>
0196;1;PSYCHOLOGUE HORS CLASSE;A;510;62;1;PSYCHOLOGUES;<null>
0197;1;CONDUCTEUR AMBULANCIER DE 2EME CATEGORIE;C;510;56;1;CONDUCTEURS AMBULANCIERS;<null>
0198;8;ADJOINT ADMINISTRATIF HOSP PRINCIPAL (E06);C;510;40;1;ADJOINTS ADMINISTRATIFS HOSPITALIERS;<null>
0199;1;PERMANENCIER AUX DE REGUL MEDICALE CHEF *;C;510;42;1;PERMANENCIERS AUXILIAIRES DE REGULATION MEDICALE;<null>
0200;8;CHEF DE STANDARD TELEPHONIQUE PRINCIPAL;C;510;43;1;STANDARDISTES;<null>
0201;8;AGENT SERVICES HOSP QUALIFIE 2EME CATEGORIE;C;510;63;1;AGENTS DES SERVICES HOSPITALIERS QUALIFIES;<null>
0202;8;INFIRMIER SPECIALISE ECHELLE INFIRMIER SALLE D'OPERATION CLA;B;510;14;1;INFIRMIERS;<null>
0203;8;LIEUTENANT DE DEUXIEME CLASSE  *  SANS MAJORATION;B;110;45;1;LIEUTENANTS DE SAPEURS POMPIERS PROFESSIONNELS;3
0204;8;LIEUTENANT DE PREMIERE CLASSE * SANS MAJORATION;B;110;45;1;LIEUTENANTS DE SAPEURS POMPIERS PROFESSIONNELS;3
0205;8;LIEUTENANT HORS CLASSE * SANS MAJORATION;B;110;45;1;LIEUTENANTS DE SAPEURS POMPIERS PROFESSIONNELS;3
0206;8;INGENIEUR SUBDIVISIONNAIRE;A;510;64;1;INGENIEURS HOSPITALIERS;<null>
0207;8;INGENIEUR EN CHEF;A;510;64;1;INGENIEURS HOSPITALIERS;<null>
0208;8;INGENIEUR EN CHEF 1ERE CAT 2EME CL;A;510;64;1;INGENIEURS HOSPITALIERS;<null>
0209;8;INGENIEUR EN CHEF 1ERE CAT 1ERE CL;A;510;64;1;INGENIEURS HOSPITALIERS;<null>
0210;8;INGENIEUR EN CHEF 1ERE CAT HORS CL;A;510;64;1;INGENIEURS HOSPITALIERS;<null>
0211;8;ADJOINT TECHNIQUE CLASSE NORMALE;B;510;65;1;ADJOINTS TECHNIQUES;<null>
0212;8;ADJOINT TECHNIQUE CLASSE SUPERIEURE;B;510;65;1;ADJOINTS TECHNIQUES;<null>
0213;8;ADJOINT TECHNIQUE CLASSE EXCEPTIONNELLE;B;510;65;1;ADJOINTS TECHNIQUES;<null>
0214;1;DESSINATEUR PRINCIPAL;C;510;66;1;DESSINATEURS;<null>
0215;1;DESSINATEUR CHEF DE GROUPE;C;510;66;1;DESSINATEURS;<null>
0216;1;DESSINATEUR;C;510;66;1;DESSINATEURS;<null>
0217;1;CONSERVATEUR DU PATRIMOINE EN CHEF;A;110;47;1;CONSERVATEURS TERRITORIAUX DU PATRIMOINE;4
0218;8;CONSERVATEUR DU PATRIMOINE DE 1ERE CLASSE;A;110;47;1;CONSERVATEURS TERRITORIAUX DU PATRIMOINE;4
0219;8;CONSERVATEUR DU PATRIMOINE DE 2EME CLASSE*(2EME CAT);A;110;47;1;CONSERVATEURS TERRITORIAUX DU PATRIMOINE;4
0220;1;CONSERVATEUR DE BIBLIOTHEQUE EN CHEF;A;110;67;1;CONSERVATEURS TERRITORIAUX DE BIBLIOTHEQUE;4
0221;8;CONSERVATEUR DE BIBLIOTHEQUE DE 1ERE CLASSE;A;110;67;1;CONSERVATEURS TERRITORIAUX DE BIBLIOTHEQUE;4
0222;8;CONSERVATEUR DE BIBLIOTHEQUE 2EME CLASSE* (1ERE CAT);A;110;67;1;CONSERVATEURS TERRITORIAUX DE BIBLIOTHEQUE;4
0223;1;DIRECTEUR DE 1ERE CATEGORIE D'ETAB D'ENSEIGT ARTISTIQUE;A;110;68;1;DIRECTEURS D ETABLISSEMENTS D ENSEIGNEMENT ARTIST;4
0225;1;DIRECTEUR DE 2EME CATEGORIE D'ETAB D'ENSEIGT ARTISTIQUE;A;110;68;1;DIRECTEURS D ETABLISSEMENTS D ENSEIGNEMENT ARTIST;4
0226;8;ATTACHE DE CONSERVATION DU PATRIMOINE DE 1ERE CLASSE;A;110;69;1;ATTACHES TERRITORIAUX DE CONSERVATION PATRIMOINE;4
0227;8;ATTACHE DE CONSERVATION DU PATRIMOINE DE 2EME CLASSE;A;110;69;1;ATTACHES TERRITORIAUX DE CONSERVATION PATRIMOINE;4
0228;8;ASSISTANT DE CONSERVATION HORS CLASSE;B;110;70;1;ASSISTANTS DE CONSERVATION DU PATRIMOINE ET BIBLIO;4
0229;8;ASSISTANT DE CONSERVATION DE 1ERE CLASSE;B;110;70;1;ASSISTANTS DE CONSERVATION DU PATRIMOINE ET BIBLIO;4
0231;8;BIBLIOTHECAIRE TERRITORIAL DE 1ERE CLASSE;A;110;71;1;BIBLIOTHECAIRES TERRITORIAUX;4
0232;8;BIBLIOTHECAIRE TERRITORIAL DE 2EME CLASSE;A;110;71;1;BIBLIOTHECAIRES TERRITORIAUX;4
0233;8;AGENT QUALIFIE DU PATRIMOINE HORS CLASSE;C;110;72;1;AGENTS TERRITORIAUX QUALIFIES DU PATRIMOINE;4
0234;8;AGENT QUALIFIE DU PATRIMOINE DE 1ERE CLASSE;C;110;72;1;AGENTS TERRITORIAUX QUALIFIES DU PATRIMOINE;4
