,date_effet_grille,ib,code_grade_NETNEH,echelon,max_mois,min_mois,moy_mois,libelle_FP,libelle_grade_NEG,code_grade_NEG,code_grade,annee_effet
45,2005-06-08,704,0360,9,45,27,-1,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECTION CLASSE PROVISOIRE (*),748,748,2005
47,2007-01-07,504,0423,1,-1,-1,12,FONCTION PUBLIQUE HOSPITALIERE,ATTACHE PRINCIPAL,852,852,2007
48,2007-01-07,572,0423,2,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,ATTACHE PRINCIPAL,852,852,2007
49,2007-01-07,616,0423,3,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,ATTACHE PRINCIPAL,852,852,2007
50,2007-01-07,660,0423,4,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,ATTACHE PRINCIPAL,852,852,2007
51,2007-01-07,712,0423,5,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,ATTACHE PRINCIPAL,852,852,2007
52,2007-01-07,759,0423,6,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,ATTACHE PRINCIPAL,852,852,2007
53,2007-01-07,821,0423,7,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,ATTACHE PRINCIPAL,852,852,2007
54,2007-01-07,864,0423,8,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,ATTACHE PRINCIPAL,852,852,2007
55,2007-01-07,916,0423,9,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,ATTACHE PRINCIPAL,852,852,2007
56,2007-01-07,966,0423,10,-1,-1,-1,FONCTION PUBLIQUE HOSPITALIERE,ATTACHE PRINCIPAL,852,852,2007
57,2001-12-20,379,0430,1,-1,-1,12,FONCTION PUBLIQUE HOSPITALIERE,ATTACHE,666,666,2001
58,2001-12-20,423,0430,2,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,ATTACHE,666,666,2001
59,2001-12-20,442,0430,3,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,ATTACHE,666,666,2001
60,2001-12-20,466,0430,4,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,ATTACHE,666,666,2001
61,2001-12-20,500,0430,5,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,ATTACHE,666,666,2001
62,2001-12-20,542,0430,6,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,ATTACHE,666,666,2001
63,2001-12-20,588,0430,7,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,ATTACHE,666,666,2001
64,2001-12-20,625,0430,8,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,ATTACHE,666,666,2001
65,2001-12-20,653,0430,9,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,ATTACHE,666,666,2001
66,2001-12-20,703,0430,10,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,ATTACHE,666,666,2001
67,2001-12-20,759,0430,11,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,ATTACHE,666,666,2001
68,2001-12-20,780,0430,12,-1,-1,-1,FONCTION PUBLIQUE HOSPITALIERE,ATTACHE,666,666,2001
69,2007-08-08,379,0430,1,-1,-1,12,FONCTION PUBLIQUE HOSPITALIERE,ATTACHE,666,666,2007
70,2007-08-08,423,0430,2,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,ATTACHE,666,666,2007
71,2007-08-08,442,0430,3,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,ATTACHE,666,666,2007
72,2007-08-08,466,0430,4,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,ATTACHE,666,666,2007
73,2007-08-08,500,0430,5,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,ATTACHE,666,666,2007
74,2007-08-08,542,0430,6,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,ATTACHE,666,666,2007
75,2007-08-08,588,0430,7,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,ATTACHE,666,666,2007
76,2007-08-08,625,0430,8,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,ATTACHE,666,666,2007
77,2007-08-08,653,0430,9,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,ATTACHE,666,666,2007
78,2007-08-08,703,0430,10,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,ATTACHE,666,666,2007
79,2007-08-08,759,0430,11,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,ATTACHE,666,666,2007
80,2007-08-08,801,0430,12,-1,-1,-1,FONCTION PUBLIQUE HOSPITALIERE,ATTACHE,666,666,2007
81,2008-01-01,750,0640,1,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECT HORS CL ETS SANIT SOC ET MED SOC,918,918,2008
82,2008-01-01,801,0640,2,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECT HORS CL ETS SANIT SOC ET MED SOC,918,918,2008
83,2008-01-01,852,0640,3,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECT HORS CL ETS SANIT SOC ET MED SOC,918,918,2008
84,2008-01-01,901,0640,4,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECT HORS CL ETS SANIT SOC ET MED SOC,918,918,2008
85,2008-01-01,966,0640,5,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECT HORS CL ETS SANIT SOC ET MED SOC,918,918,2008
86,2008-01-01,1015,0640,6,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECT HORS CL ETS SANIT SOC ET MED SOC,918,918,2008
93,2008-01-01,500,0650,1,-1,-1,12,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECT CL NORM ETS SANIT SOC ET MED SOC,917,917,2008
94,2008-01-01,528,0650,2,-1,-1,12,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECT CL NORM ETS SANIT SOC ET MED SOC,917,917,2008
95,2008-01-01,588,0650,3,-1,-1,12,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECT CL NORM ETS SANIT SOC ET MED SOC,917,917,2008
96,2008-01-01,655,0650,4,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECT CL NORM ETS SANIT SOC ET MED SOC,917,917,2008
97,2008-01-01,701,0650,5,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECT CL NORM ETS SANIT SOC ET MED SOC,917,917,2008
98,2008-01-01,750,0650,6,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECT CL NORM ETS SANIT SOC ET MED SOC,917,917,2008
99,2008-01-01,801,0650,7,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECT CL NORM ETS SANIT SOC ET MED SOC,917,917,2008
100,2008-01-01,852,0650,8,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECT CL NORM ETS SANIT SOC ET MED SOC,917,917,2008
101,2008-01-01,901,0650,9,-1,-1,-1,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECT CL NORM ETS SANIT SOC ET MED SOC,917,917,2008
102,2012-12-29,642,1001,1,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER CADRE SUP SANTE PARAMEDICAL,1050,1050,2012
103,2012-12-29,668,1001,2,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER CADRE SUP SANTE PARAMEDICAL,1050,1050,2012
104,2012-12-29,701,1001,3,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER CADRE SUP SANTE PARAMEDICAL,1050,1050,2012
105,2012-12-29,728,1001,4,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER CADRE SUP SANTE PARAMEDICAL,1050,1050,2012
106,2012-12-29,771,1001,5,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER CADRE SUP SANTE PARAMEDICAL,1050,1050,2012
107,2012-12-29,800,1001,6,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER CADRE SUP SANTE PARAMEDICAL,1050,1050,2012
108,2012-12-29,820,1001,7,-1,-1,-1,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER CADRE SUP SANTE PARAMEDICAL,1050,1050,2012
109,2015-01-07,659,1001,1,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER CADRE SUP SANTE PARAMEDICAL,1050,1050,2015
110,2015-01-07,688,1001,2,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER CADRE SUP SANTE PARAMEDICAL,1050,1050,2015
111,2015-01-07,723,1001,3,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER CADRE SUP SANTE PARAMEDICAL,1050,1050,2015
112,2015-01-07,765,1001,4,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER CADRE SUP SANTE PARAMEDICAL,1050,1050,2015
113,2015-01-07,807,1001,5,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER CADRE SUP SANTE PARAMEDICAL,1050,1050,2015
114,2015-01-07,854,1001,6,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER CADRE SUP SANTE PARAMEDICAL,1050,1050,2015
115,2015-01-07,901,1001,7,-1,-1,-1,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER CADRE SUP SANTE PARAMEDICAL,1050,1050,2015
116,2012-12-29,642,1002,1,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER BLOC CADRE SUP SANTE PARAMEDICAL,1051,1051,2012
117,2012-12-29,668,1002,2,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER BLOC CADRE SUP SANTE PARAMEDICAL,1051,1051,2012
118,2012-12-29,701,1002,3,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER BLOC CADRE SUP SANTE PARAMEDICAL,1051,1051,2012
119,2012-12-29,728,1002,4,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER BLOC CADRE SUP SANTE PARAMEDICAL,1051,1051,2012
120,2012-12-29,771,1002,5,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER BLOC CADRE SUP SANTE PARAMEDICAL,1051,1051,2012
121,2012-12-29,800,1002,6,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER BLOC CADRE SUP SANTE PARAMEDICAL,1051,1051,2012
122,2012-12-29,820,1002,7,-1,-1,-1,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER BLOC CADRE SUP SANTE PARAMEDICAL,1051,1051,2012
123,2015-01-07,659,1002,1,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER BLOC CADRE SUP SANTE PARAMEDICAL,1051,1051,2015
124,2015-01-07,688,1002,2,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER BLOC CADRE SUP SANTE PARAMEDICAL,1051,1051,2015
125,2015-01-07,723,1002,3,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER BLOC CADRE SUP SANTE PARAMEDICAL,1051,1051,2015
126,2015-01-07,765,1002,4,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER BLOC CADRE SUP SANTE PARAMEDICAL,1051,1051,2015
127,2015-01-07,807,1002,5,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER BLOC CADRE SUP SANTE PARAMEDICAL,1051,1051,2015
128,2015-01-07,854,1002,6,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER BLOC CADRE SUP SANTE PARAMEDICAL,1051,1051,2015
129,2015-01-07,901,1002,7,-1,-1,-1,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER BLOC CADRE SUP SANTE PARAMEDICAL,1051,1051,2015
130,2012-12-29,642,1003,1,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER ANESTHESISTE CADRE SUP SANTE PARAMED,1056,1056,2012
131,2012-12-29,668,1003,2,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER ANESTHESISTE CADRE SUP SANTE PARAMED,1056,1056,2012
132,2012-12-29,701,1003,3,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER ANESTHESISTE CADRE SUP SANTE PARAMED,1056,1056,2012
133,2012-12-29,728,1003,4,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER ANESTHESISTE CADRE SUP SANTE PARAMED,1056,1056,2012
134,2012-12-29,771,1003,5,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER ANESTHESISTE CADRE SUP SANTE PARAMED,1056,1056,2012
135,2012-12-29,800,1003,6,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER ANESTHESISTE CADRE SUP SANTE PARAMED,1056,1056,2012
136,2012-12-29,820,1003,7,-1,-1,-1,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER ANESTHESISTE CADRE SUP SANTE PARAMED,1056,1056,2012
137,2015-01-07,659,1003,1,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER ANESTHESISTE CADRE SUP SANTE PARAMED,1056,1056,2015
138,2015-01-07,688,1003,2,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER ANESTHESISTE CADRE SUP SANTE PARAMED,1056,1056,2015
139,2015-01-07,723,1003,3,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER ANESTHESISTE CADRE SUP SANTE PARAMED,1056,1056,2015
140,2015-01-07,765,1003,4,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER ANESTHESISTE CADRE SUP SANTE PARAMED,1056,1056,2015
141,2015-01-07,807,1003,5,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER ANESTHESISTE CADRE SUP SANTE PARAMED,1056,1056,2015
142,2015-01-07,854,1003,6,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER ANESTHESISTE CADRE SUP SANTE PARAMED,1056,1056,2015
143,2015-01-07,901,1003,7,-1,-1,-1,FONCTION PUBLIQUE HOSPITALIERE,INFIRMIER ANESTHESISTE CADRE SUP SANTE PARAMED,1056,1056,2015
144,2012-12-29,642,1004,1,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,PUERICULTRICE CADRE SUPERIEUR SANTE PARAMEDICAL,1057,1057,2012
145,2012-12-29,668,1004,2,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,PUERICULTRICE CADRE SUPERIEUR SANTE PARAMEDICAL,1057,1057,2012
146,2012-12-29,701,1004,3,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,PUERICULTRICE CADRE SUPERIEUR SANTE PARAMEDICAL,1057,1057,2012
147,2012-12-29,728,1004,4,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,PUERICULTRICE CADRE SUPERIEUR SANTE PARAMEDICAL,1057,1057,2012
148,2012-12-29,771,1004,5,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,PUERICULTRICE CADRE SUPERIEUR SANTE PARAMEDICAL,1057,1057,2012
149,2012-12-29,800,1004,6,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,PUERICULTRICE CADRE SUPERIEUR SANTE PARAMEDICAL,1057,1057,2012
150,2012-12-29,820,1004,7,-1,-1,-1,FONCTION PUBLIQUE HOSPITALIERE,PUERICULTRICE CADRE SUPERIEUR SANTE PARAMEDICAL,1057,1057,2012
151,2015-01-07,659,1004,1,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,PUERICULTRICE CADRE SUPERIEUR SANTE PARAMEDICAL,1057,1057,2015
152,2015-01-07,688,1004,2,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,PUERICULTRICE CADRE SUPERIEUR SANTE PARAMEDICAL,1057,1057,2015
153,2015-01-07,723,1004,3,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,PUERICULTRICE CADRE SUPERIEUR SANTE PARAMEDICAL,1057,1057,2015
154,2015-01-07,765,1004,4,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,PUERICULTRICE CADRE SUPERIEUR SANTE PARAMEDICAL,1057,1057,2015
155,2015-01-07,807,1004,5,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,PUERICULTRICE CADRE SUPERIEUR SANTE PARAMEDICAL,1057,1057,2015
156,2015-01-07,854,1004,6,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,PUERICULTRICE CADRE SUPERIEUR SANTE PARAMEDICAL,1057,1057,2015
157,2015-01-07,901,1004,7,-1,-1,-1,FONCTION PUBLIQUE HOSPITALIERE,PUERICULTRICE CADRE SUPERIEUR SANTE PARAMEDICAL,1057,1057,2015
158,2012-12-29,642,1011,1,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,PEDICURE PODOLOGUE CADRE SUPERIEUR SANTE PARAMEDICAL,1058,1058,2012
159,2012-12-29,668,1011,2,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,PEDICURE PODOLOGUE CADRE SUPERIEUR SANTE PARAMEDICAL,1058,1058,2012
160,2012-12-29,701,1011,3,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,PEDICURE PODOLOGUE CADRE SUPERIEUR SANTE PARAMEDICAL,1058,1058,2012
161,2012-12-29,728,1011,4,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,PEDICURE PODOLOGUE CADRE SUPERIEUR SANTE PARAMEDICAL,1058,1058,2012
162,2012-12-29,771,1011,5,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,PEDICURE PODOLOGUE CADRE SUPERIEUR SANTE PARAMEDICAL,1058,1058,2012
163,2012-12-29,800,1011,6,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,PEDICURE PODOLOGUE CADRE SUPERIEUR SANTE PARAMEDICAL,1058,1058,2012
164,2012-12-29,820,1011,7,-1,-1,-1,FONCTION PUBLIQUE HOSPITALIERE,PEDICURE PODOLOGUE CADRE SUPERIEUR SANTE PARAMEDICAL,1058,1058,2012
165,2015-01-07,659,1011,1,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,PEDICURE PODOLOGUE CADRE SUPERIEUR SANTE PARAMEDICAL,1058,1058,2015
166,2015-01-07,688,1011,2,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,PEDICURE PODOLOGUE CADRE SUPERIEUR SANTE PARAMEDICAL,1058,1058,2015
167,2015-01-07,723,1011,3,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,PEDICURE PODOLOGUE CADRE SUPERIEUR SANTE PARAMEDICAL,1058,1058,2015
168,2015-01-07,765,1011,4,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,PEDICURE PODOLOGUE CADRE SUPERIEUR SANTE PARAMEDICAL,1058,1058,2015
169,2015-01-07,807,1011,5,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,PEDICURE PODOLOGUE CADRE SUPERIEUR SANTE PARAMEDICAL,1058,1058,2015
170,2015-01-07,854,1011,6,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,PEDICURE PODOLOGUE CADRE SUPERIEUR SANTE PARAMEDICAL,1058,1058,2015
171,2015-01-07,901,1011,7,-1,-1,-1,FONCTION PUBLIQUE HOSPITALIERE,PEDICURE PODOLOGUE CADRE SUPERIEUR SANTE PARAMEDICAL,1058,1058,2015
172,2012-12-29,642,1012,1,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,MASSEUR KINE CADRE SUP SANTE PARAMEDICAL,1059,1059,2012
173,2012-12-29,668,1012,2,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,MASSEUR KINE CADRE SUP SANTE PARAMEDICAL,1059,1059,2012
174,2012-12-29,701,1012,3,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,MASSEUR KINE CADRE SUP SANTE PARAMEDICAL,1059,1059,2012
175,2012-12-29,728,1012,4,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,MASSEUR KINE CADRE SUP SANTE PARAMEDICAL,1059,1059,2012
176,2012-12-29,771,1012,5,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,MASSEUR KINE CADRE SUP SANTE PARAMEDICAL,1059,1059,2012
177,2012-12-29,800,1012,6,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,MASSEUR KINE CADRE SUP SANTE PARAMEDICAL,1059,1059,2012
178,2012-12-29,820,1012,7,-1,-1,-1,FONCTION PUBLIQUE HOSPITALIERE,MASSEUR KINE CADRE SUP SANTE PARAMEDICAL,1059,1059,2012
179,2015-01-07,659,1012,1,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,MASSEUR KINE CADRE SUP SANTE PARAMEDICAL,1059,1059,2015
180,2015-01-07,688,1012,2,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,MASSEUR KINE CADRE SUP SANTE PARAMEDICAL,1059,1059,2015
181,2015-01-07,723,1012,3,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,MASSEUR KINE CADRE SUP SANTE PARAMEDICAL,1059,1059,2015
182,2015-01-07,765,1012,4,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,MASSEUR KINE CADRE SUP SANTE PARAMEDICAL,1059,1059,2015
183,2015-01-07,807,1012,5,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,MASSEUR KINE CADRE SUP SANTE PARAMEDICAL,1059,1059,2015
184,2015-01-07,854,1012,6,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,MASSEUR KINE CADRE SUP SANTE PARAMEDICAL,1059,1059,2015
185,2015-01-07,901,1012,7,-1,-1,-1,FONCTION PUBLIQUE HOSPITALIERE,MASSEUR KINE CADRE SUP SANTE PARAMEDICAL,1059,1059,2015
186,2012-12-29,642,1013,1,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,ERGOTHERAPEUTE CADRE SUP SANTE PARAMEDICAL,1060,1060,2012
187,2012-12-29,668,1013,2,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,ERGOTHERAPEUTE CADRE SUP SANTE PARAMEDICAL,1060,1060,2012
188,2012-12-29,701,1013,3,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,ERGOTHERAPEUTE CADRE SUP SANTE PARAMEDICAL,1060,1060,2012
189,2012-12-29,728,1013,4,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,ERGOTHERAPEUTE CADRE SUP SANTE PARAMEDICAL,1060,1060,2012
190,2012-12-29,771,1013,5,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,ERGOTHERAPEUTE CADRE SUP SANTE PARAMEDICAL,1060,1060,2012
